gene	readout_source	readout_best_condition	readout_min_log2fc	readout_negative_records	readout_total_records
B2M	Mixscale_GSE281048	IFNG:IFNGR1	-1.260014444262903	18	24
CD44	Mixscale_GSE281048	TNFA:IKBKB	-0.1905863142489815	6	23
CD74	Mixscale_GSE281048	IFNG:IFNGR1	-1.6911168750532837	8	9
CIITA	Mixscale_GSE281048	IFNG:IFNGR1	-1.584131620695115	6	9
CTSB	Mixscale_GSE281048	IFNG:IFNGR1	-0.1105634103457387	8	22
CTSD	Mixscale_GSE281048	IFNB:IFNAR1	-0.0768519318142154	6	24
CTSL	Mixscale_GSE281048	IFNG:JAK1	-0.4626524158243787	14	24
CTSS	Mixscale_GSE281048	IFNG:IFNGR2	-1.47354277692381	18	24
CXCL10	Mixscale_GSE281048	IFNG:STAT1	-1.869091369326385	5	9
GBP1	Mixscale_GSE281048	IFNG:IFNGR1	-1.6575858488139	17	24
GBP2	Mixscale_GSE281048	IFNG:IFNGR2	-1.5517055873589958	6	11
HLA-DQB1	Mixscale_GSE281048	IFNG:HLA-DQB1		0	1
IFI30	Mixscale_GSE281048	IFNG:JAK2	-1.34385893389944	7	9
IRF1	Mixscale_GSE281048	IFNG:IFNGR1	-1.5207456076961716	19	24
LAMP1	Mixscale_GSE281048	IFNG:IFNGR1	-0.0633713240541706	5	23
LAMP2	Mixscale_GSE281048	IFNG:JAK2	-0.1264408290297292	7	22
LAMP3	Mixscale_GSE281048	IFNB:TYK2	-1.6461870073323888	5	7
NLRC5	Mixscale_GSE281048	IFNG:IFNGR2	-1.4525188859778635	17	23
RFX5	Mixscale_GSE281048	IFNG:RFX5	-1.4850165969019382	9	19
STAT1	Mixscale_GSE281048	IFNG:STAT1	-1.6570882521318924	15	24
TAP1	Mixscale_GSE281048	IFNG:IFNGR2	-1.6162842757165732	17	24
TAP2	Mixscale_GSE281048	IFNG:IFNGR1	-1.3968881390998484	19	23
ATF4	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-1.5008999933660068	4	5
BAX	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.4054423854665661	1	5
CASP3	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-0.4540308009258567	2	5
CD74	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-2.459210478390288	2	5
CIITA	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-3.3427175736895443	4	5
CTSS	GSE162464_mouse_macrophage_RNAseq	Gsk3b_US_vs_NTC_US	-0.7285524626700575	4	5
CXCL10	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-1.452045042905734	3	5
DDIT3	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-1.379431710925215	4	5
DNAJB1	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.4057984333559385	3	5
FOS	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.2490363401281472	1	5
GADD45A	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-0.4309784517290866	1	5
GBP2	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-0.4820464933063508	2	5
H2-AA	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-7.3336823008475935	4	5
H2-AB1	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-4.7072517776779605	3	5
H2-DMA	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-3.457667356407514	3	5
H2-DMB1	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-3.476211459172956	4	5
H2-DMB2	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-2.4507337020003876	4	5
H2-EB1	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-6.245196156782847	4	5
HMOX1	GSE162464_mouse_macrophage_RNAseq	Med16_US_vs_NTC_US	-0.1119488609413927	4	5
HSP90AA1	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.5701545399185388	3	5
HSPA1A	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-1.02201191943253	4	5
HSPA1B	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-1.5384947325843674	4	5
IFI30	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.5648458061908013	3	5
IFIT1	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-1.5717381532724293	4	5
IRF1	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.3793933057735721	3	5
ISG15	GSE162464_mouse_macrophage_RNAseq	Gsk3b_US_vs_NTC_US	-1.5687789299917818	4	5
JUN	GSE162464_mouse_macrophage_RNAseq	NTC_IFNg_vs_NTC_US	-0.3707378287168481	2	5
KLF6	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-0.5677055789922782	2	5
RFX5	GSE162464_mouse_macrophage_RNAseq	Gsk3b_IFNg_vs_NTC_IFNg	-1.0225190520212752	3	5
STAT1	GSE162464_mouse_macrophage_RNAseq	Med16_IFNg_vs_NTC_IFNg	-1.388773740925668	3	5
ATF4	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-1.143493208860212	4	4
BAX	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-0.3863537972824726	3	4
CASP3	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	-0.9599960341868696	4	4
CD74	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-1.0071674190623805	4	4
CIITA	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	-2.734352984657213	4	4
CTSS	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	-0.0697940473774725	3	4
CXCL10	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS6H_vs_D4_IFNy_LPS6H	-7.895425897810127	4	4
DDIT3	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	-1.5765083947844811	4	4
DNAJB1	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	-0.082835894810378	1	4
FOS	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	-0.5345428011235338	2	4
GADD45A	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-0.1435557582325906	2	4
GBP1	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-5.052613897615008	4	4
HLA-DMA	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	-1.0171384191875266	4	4
HLA-DMB	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS3H_vs_D4_IFNy_LPS3H	-1.0553853955948025	4	4
HLA-DPA1	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-1.1858714320992991	4	4
HLA-DPB1	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-0.963215950920782	4	4
HLA-DQA1	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS0H_vs_D4_IFNy_LPS0H	-1.529059820563834	4	4
HLA-DQB1	GSE294918_human_ruxolitinib	D4_IFNy_rux_LPS1H_vs_D4_IFNy_LPS1H	-1.263477329940188	4	4
