candidate	source	query	search_url	api_url	raw_file	status	count_or_signal	top_hits
ATOX1	PubMed	"(ATOX1[Title/Abstract] OR ""antioxidant 1 copper chaperone""[Title/Abstract] OR ""copper chaperone ATOX1""[Title/Abstract]) AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://pubmed.ncbi.nlm.nih.gov/?term=%28ATOX1%5BTitle%2FAbstract%5D+OR+%22antioxidant+1+copper+chaperone%22%5BTitle%2FAbstract%5D+OR+%22copper+chaperone+ATOX1%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28ATOX1%5BTitle%2FAbstract%5D+OR+%22antioxidant+1+copper+chaperone%22%5BTitle%2FAbstract%5D+OR+%22copper+chaperone+ATOX1%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&retmax=5&sort=relevance&retmode=json	results_v3/wave21_residual_candidate_prior_art/raw_api/pubmed_ATOX1.json	200	17	PMID:39589160; PMID:38796413; PMID:36139494; PMID:30545441; PMID:31553645
ATOX1	Europe PMC	"(ATOX1 OR ""antioxidant 1 copper chaperone"" OR ""copper chaperone ATOX1"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://europepmc.org/search?query=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_ATOX1.json	200	742	PMID:41892335;DOI:10.3390/cells15060545 | 2026 | Cells | Multifaceted Role of Copper Homeostasis in Gut Health: From Molecular Mechanisms to Therapeutic Interventions.; PMID:40148470;DOI:10.1038/s41598-025-94053-7 | 2025 | Sci Rep | Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy.; PMID:41985411;DOI:10.1016/j.redox.2026.104164 | 2026 | Redox Biol | Glutaredoxin 1 promotes intestinal epithelial cell copper toxicity in inflammatory bowel disease.; PMID:39970778;DOI:10.1016/j.redox.2025.103552 | 2025 | Redox Biol | Copper in melanoma: At the crossroad of protumorigenic and anticancer roles.; PMID:41837409;DOI:10.1080/15384047.2026.2644674 | 2026 | Cancer Biol Ther | The role of copper and cuproptosis in digestive system cancers: novel therapeutic strategies and mechanistic insights.
ATOX1	Europe PMC preprints	"(ATOX1 OR ""antioxidant 1 copper chaperone"" OR ""copper chaperone ATOX1"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid) AND SRC:PPR"	https://europepmc.org/search?query=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_preprint_ATOX1.json	200	6	DOI:10.21203/rs.3.rs-910516/v1 | 2021 | PPR | Differential Brain and Cerebrospinal Fluid Proteomic Responses To Acute Prenatal Endotoxin Exposure; DOI:10.1101/2025.06.12.659348 | 2025 | PPR | Spatially-distinct programming of macrophage diversity within the granulomas of  <i>Mycobacterium tuberculosis</i>  infected nonhuman primat; DOI:10.21203/rs.3.rs-2379226/v1 | 2023 | PPR | Proteomic Characterization of Acute Kidney Injury in Patients Hospitalized with SARS-CoV2 Infection; DOI:10.1101/2021.12.09.21267548 | 2021 | PPR | Proteomic Characterization of Acute Kidney Injury in Patients Hospitalized with SARS-CoV2 Infection; DOI:10.1101/2021.03.28.437379 | 2021 | PPR | High-dimensional profiling demonstrates complexity, tissue imprinting, and lineage-specific precursors within the mononuclear phagocyte comp
ATOX1	ClinicalTrials.gov	"(ATOX1 OR ""antioxidant 1 copper chaperone"" OR ""copper chaperone ATOX1"")"	https://clinicaltrials.gov/search?term=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29	https://clinicaltrials.gov/api/v2/studies?query.term=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29&pageSize=5&format=json	results_v3/wave21_residual_candidate_prior_art/raw_api/clinicaltrials_ATOX1.json	200	0	
ATOX1	Google Patents	"(ATOX1 OR ""antioxidant 1 copper chaperone"" OR ""copper chaperone ATOX1"") AND (autoimmune OR inflammation OR inhibitor OR antibody OR therapeutic)"	https://patents.google.com/?q=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29+AND+%28autoimmune+OR+inflammation+OR+inhibitor+OR+antibody+OR+therapeutic%29	https://patents.google.com/?q=%28ATOX1+OR+%22antioxidant+1+copper+chaperone%22+OR+%22copper+chaperone+ATOX1%22%29+AND+%28autoimmune+OR+inflammation+OR+inhibitor+OR+antibody+OR+therapeutic%29	results_v3/wave21_residual_candidate_prior_art/raw_api/google_patents_ATOX1.html	200	5	HTML saved; result-count not parsed
ATOX1	ChEMBL	ATOX1	https://www.ebi.ac.uk/chembl/g/#search_results/targets/query=ATOX1	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ATOX1	results_v3/wave21_residual_candidate_prior_art/raw_api/chembl_target_ATOX1.json	200	target_hits:0	
ATOX1	UniProt	(gene_exact:ATOX1) AND (organism_id:9606)	https://www.uniprot.org/uniprotkb?query=%28gene_exact%3AATOX1%29+AND+%28organism_id%3A9606%29	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AATOX1%29+AND+%28organism_id%3A9606%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_transmem%2Cft_binding%2Cft_act_site&size=3	results_v3/wave21_residual_candidate_prior_art/raw_api/uniprot_ATOX1.json	200	3	O00244 | ATOX1 | Copper transport protein ATOX1; E5RIM7 | ATOX1 | Copper transport protein ATOX1; E5RGN3 | ATOX1 | Copper transport protein ATOX1
SQLE	PubMed	"(SQLE[Title/Abstract] OR ""squalene epoxidase""[Title/Abstract]) AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://pubmed.ncbi.nlm.nih.gov/?term=%28SQLE%5BTitle%2FAbstract%5D+OR+%22squalene+epoxidase%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28SQLE%5BTitle%2FAbstract%5D+OR+%22squalene+epoxidase%22%5BTitle%2FAbstract%5D%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&retmax=5&sort=relevance&retmode=json	results_v3/wave21_residual_candidate_prior_art/raw_api/pubmed_SQLE.json	200	37	PMID:40695827; PMID:35867799; PMID:40865345; PMID:40762538; PMID:40145543
SQLE	Europe PMC	"(SQLE OR ""squalene epoxidase"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid)"	https://europepmc.org/search?query=%28SQLE+OR+%22squalene+epoxidase%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SQLE+OR+%22squalene+epoxidase%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_SQLE.json	200	2134	PMID:41688662;DOI:10.1038/s41598-026-38233-z | 2026 | Sci Rep | Network and molecular insights into the antidiabetic potential of squalene in alloxan-induced diabetes.; PMID:42075762;DOI:10.3390/pathogens15040435 | 2026 | Pathogens | Molecular Characterization and Preliminary NGS Profiling of Terbinafine-Resistant &lt;i&gt;Trichophyton indotineae&lt;/i&gt; Isolates in Ita; PMID:41804367;DOI:10.2147/idr.s592684 | 2026 | Infect Drug Resist | Global Emergence of &lt;i&gt;Trichophyton mentagrophytes&lt;/i&gt; ITS Genotype VIII (&lt;i&gt;Trichophyton indotineae&lt;/i&gt;): A Scoping; PMID:41833674;DOI:10.1016/j.ijbiomac.2026.151416 | 2026 | Int J Biol Macromol | Bletilla striata polysaccharide alleviates obesity by remodeling the gut microbiota-metabolite-liver axis and suppressing the hepatic AMPK-S; PMID:40762538;DOI:10.1167/iovs.66.11.9 | 2025 | Invest Ophthalmol Vis Sci | Effects of Cholesterol Metabolism on Corneal Endothelial Dysfunction in Patients With Type 1 Diabetes.
SQLE	Europe PMC preprints	"(SQLE OR ""squalene epoxidase"") AND (autoimmune OR autoimmunity OR inflammation OR ""multiple sclerosis"" OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR rheumatoid) AND SRC:PPR"	https://europepmc.org/search?query=%28SQLE+OR+%22squalene+epoxidase%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SQLE+OR+%22squalene+epoxidase%22%29+AND+%28autoimmune+OR+autoimmunity+OR+inflammation+OR+%22multiple+sclerosis%22+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+rheumatoid%29+AND+SRC%3APPR&format=json&pageSize=5	results_v3/wave21_residual_candidate_prior_art/raw_api/europepmc_preprint_SQLE.json	200	17	DOI:10.1101/2024.05.10.590792 | 2024 | PPR | 25-hydroxycholesterol promotes brain endothelial dysfunction by remodelling cholesterol metabolism; DOI:10.1101/2024.11.29.626085 | 2024 | PPR | DNA methylation and gene expression trajectories of human postprandial metabolism; DOI:10.21203/rs.3.rs-9384143/v1 | 2026 | PPR | A unique transcriptomic landscape defines African-specific grade group 1 prostate cancer; DOI:10.1101/2025.08.12.669757 | 2025 | PPR | Meal timing is a critical factor for maintenance of gut homeostasis around the clock; DOI:10.21203/rs.3.rs-2616509/v1 | 2023 | PPR | PTEN acts as a metabolic checkpoint molecule in mature B cells to suppress TLR9-mediated inflammation
