gene	selection_reasons	discovery_priority_score_resid	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2_resid	ms_wm_p_resid	in_lipid_lysosomal_myeloid_neighborhood_resid	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood_broad	ms_wm_delta_log2_broad	ms_wm_hedges_g	ms_wm_p_broad	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score_broad	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	target_level_genetics_dod_call	audit_priority_call	wave21_residual_modality_score	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url	wave21_call	wave21_failures	wave21_modality_read	wave21_manual_class	wave21_direction	wave21_prior_flag	prior_exclusion_reason
C1QTNF1	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	-0.2172605175146804	0.8642634636230562	False	2	2	0	2	2	0	0	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.53,p=0.0047;ibd_crohn_stromal:0.647,p=0.027	ibd_uc_stromal|hla_ii_apc:0.486,p=0.0015;ibd_uc_stromal|ifn_apc:0.537,p=0.0021;ibd_uc_stromal|lysosomal_apc:0.55,p=0.0024;ibd_uc_stromal|complement_effector:0.527,p=0.0045;ibd_uc_stromal|core_lysosomal_lipid:0.416,p=0.01;ibd_crohn_stromal|lysosomal_apc:0.649,p=0.027;ibd_uc_stromal|inflammatory_nfkb:0.395,p=0.028;ibd_uc_stromal|lipid_loader_repair:0.399,p=0.029	16	17.0	4.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0007050255678289	0.0715425887840995	2.051331747167722	2.391713099844818			ibd_uc_stromal:1.75,p=0.00071;psoriasis_keratinocyte:1.55,p=0.0041;ibd_crohn_stromal:2.05,p=0.0058;t1d_ductal_cell:1.64,p=0.0059	False	-0.2172605175146804	-0.0739427772686202	0.8642634636230562	0.9801638168834976															False	False	0.0	18.0					10.5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=C1QTNF1&limit=10	Q9BXJ1	Complement C1q tumor necrosis factor-related protein 1		Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AC1QTNF1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
HIF1A	mechanistic_scout;top_rank	22.0	3.0	0.0	False	-0.1231736174707265	0.7282461776522897	False	5	2	0	5	2	0	0	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:1.12,p=0.00061;ibd_crohn_epithelial:0.36,p=0.0019;ibd_uc_myeloid:0.836,p=0.0075;ibd_crohn_stromal:0.902,p=0.014;ibd_crohn_myeloid:0.621,p=0.036	ibd_uc_stromal|lysosomal_apc:1.16,p=8.9e-05;ibd_uc_stromal|hla_ii_apc:1.05,p=0.00019;ibd_uc_stromal|complement_effector:1.13,p=0.00024;ibd_uc_stromal|ifn_apc:1.14,p=0.00036;ibd_uc_stromal|core_lysosomal_lipid:0.884,p=0.0013;ibd_crohn_epithelial|lysosomal_apc:0.303,p=0.0025;ibd_crohn_epithelial|complement_phagocytosis:0.34,p=0.0027;ibd_crohn_stromal|hif_nampt_metabolic:0.559,p=0.0027	16	17.0	7.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		3.0133573988261856e-05	0.0326479535548552	1.865354836808472	2.1213508325477384			ibd_crohn_epithelial:1.32,p=3e-05;ibd_uc_stromal:1.87,p=0.00015;ibd_crohn_stromal:1.76,p=0.00046;ibd_uc_epithelial:1.38,p=0.0056;ibd_uc_myeloid:1.38,p=0.019;ibd_crohn_myeloid:1.21,p=0.028;t1d_stellate_cell:0.443,p=0.047	False	-0.1231736174707265	-0.1509074129292437	0.7282461776522897	0.9681291199669212	4.0	MS;UC;celiac;psoriasis	0.2959646025331924			datatype_affected_pathway;datatype_literature;datatype_rna_expression									False	False	4.0	22.0					10.5	CHEMBL4296108	HIF1A/p300/CREB-binding protein	PROTEIN-PROTEIN INTERACTION	Homo sapiens	7	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=HIF1A&limit=10	Q16665	Hypoxia-inducible factor 1-alpha	(Microbial infection) Upon infection by human coronavirus SARS-CoV-2, is required for induction of glycolysis in monocytes and the consequent pro-inflammatory state (PubMed:32697943). In monocytes, induces expression of ACE2 and cytokines such as IL1B, TNF, IL6, and interferons (PubMed:32697943). Promotes human coronavirus SARS-CoV-2 replication and monocyte inflammatory response (PubMed:32697943)	Cytoplasm;Nucleus;Nucleus speckle	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AHIF1A%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases;weak_external_modality	none_detected				
PDLIM7	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	0.3031114239445287	0.4681143272853248	False	4	3	0	3	2	0	0	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:0.493,p=0.018;ibd_uc_myeloid:0.546,p=0.023;ibd_crohn_myeloid:0.577,p=0.023;psoriasis_keratinocyte:0.385,p=0.029	ibd_crohn_myeloid|hla_ii_apc:0.651,p=0.0026;ibd_crohn_myeloid|mif_cd74_receptor_state:0.622,p=0.012;ibd_crohn_stromal|ifn_apc:0.511,p=0.013;ibd_crohn_stromal|hla_ii_apc:0.496,p=0.017;ibd_crohn_stromal|lysosomal_apc:0.492,p=0.018;ibd_crohn_stromal|complement_effector:0.488,p=0.019;ibd_crohn_myeloid|complement_effector:0.591,p=0.02;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.4,p=0.024	9	17.0	6.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0082392701174795	0.1952763160291199	1.7982146243090549	1.5653835927439594			ibd_crohn_stromal:1.21,p=0.0082;psoriasis_skin_apc:1.49,p=0.01;ibd_crohn_epithelial:0.999,p=0.017;ibd_uc_myeloid:1.8,p=0.019;ibd_crohn_myeloid:1.79,p=0.027;t1d_stellate_cell:1.65,p=0.048	False	0.3031114239445287	0.3058254638163591	0.4681143272853248	0.9239963547089984															False	False	0.0	18.0					6.5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDLIM7&limit=10	Q9NR12	PDZ and LIM domain protein 7	May function as a scaffold on which the coordinated assembly of proteins can occur. May play a role as an adapter that, via its PDZ domain, localizes LIM-binding proteins to actin filaments of both skeletal muscle and nonmuscle tissues. Involved in both of the two fundamental mechanisms of bone formation, direct bone formation (e.g. embryonic flat bones mandible and cranium), and endochondral bone formation (e.g. embryonic long bone development). Plays a role during fracture repair. Involved in BMP6 signaling pathway (By similarity)	Cytoplasm;Cytoplasm, cytoskeleton	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDLIM7%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases;weak_external_modality	none_detected				
SEC61A1	top_rank	17.0	3.0	0.0	False	-0.0775050827248335	0.5742291621491669	False	5	2	1	5	2	3	1	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_epithelial:0.256,p=0.0042;psoriasis_keratinocyte:0.36,p=0.0096;ibd_crohn_stromal:0.379,p=0.019;psoriasis_skin_stromal:0.376,p=0.033;psoriasis_skin_apc:0.321,p=0.049	ibd_crohn_epithelial|complement_phagocytosis:0.261,p=0.0035;ibd_crohn_epithelial|lysosomal_apc:0.204,p=0.0066;psoriasis_skin_stromal|hif_nampt_metabolic:0.361,p=0.01;psoriasis_skin_stromal|inflammatory_nfkb:0.379,p=0.012;psoriasis_keratinocyte|inflammatory_nfkb:0.313,p=0.019;ibd_crohn_stromal|complement_effector:0.379,p=0.019;ibd_crohn_stromal|lysosomal_apc:0.379,p=0.019;ibd_crohn_stromal|lipid_loader_repair:0.375,p=0.02	8	17.0	6.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0010590113457238	0.0916486233907674	0.9682141152211852	2.3722674914654034			ibd_crohn_epithelial:0.799,p=0.0011;ibd_uc_epithelial:0.883,p=0.0078;psoriasis_keratinocyte:0.9,p=0.011;ibd_crohn_stromal:0.814,p=0.011;psoriasis_skin_stromal:0.92,p=0.021;psoriasis_skin_apc:0.968,p=0.043	False	-0.0775050827248335	-0.2397760921557724	0.5742291621491669	0.9435509047633368															False	False	0.0	17.0					6.5	CHEMBL5725113	Protein transport protein Sec61 subunit alpha isoform 1	SINGLE PROTEIN	Homo sapiens	3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SEC61A1&limit=10	P61619	Protein transport protein Sec61 subunit alpha isoform 1	Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939, PubMed:22375059, PubMed:28782633, PubMed:29719251, PubMed:32814900). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:22375059, PubMed:28782633, PubMed:29719251). May cooperate with auxiliary protein SEC62, SEC63 and HSPA5/BiP to enable post-translational transport of small presecretory proteins (PubMed:22375059, PubMed:29719251). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane segments of proteins, while 	Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASEC61A1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
SEC61B	top_rank	17.196458522723642	3.0	0.0	False	0.0379228326077143	0.8814268776848122	False	4	2	1	4	2	3	1	1	1	ibd_uc_stromal:ulcerative colitis	psoriasis_skin_stromal:0.35,p=0.001;ibd_uc_stromal:0.438,p=0.0035;psoriasis_keratinocyte:0.249,p=0.018;psoriasis_skin_apc:0.422,p=0.039	psoriasis_skin_stromal|inflammatory_nfkb:0.348,p=0.00021;ibd_uc_stromal|complement_effector:0.441,p=0.0027;psoriasis_skin_stromal|hif_nampt_metabolic:0.348,p=0.0027;psoriasis_skin_stromal|lipid_loader_repair:0.334,p=0.0031;ibd_uc_stromal|hla_ii_apc:0.44,p=0.0033;ibd_uc_stromal|ifn_apc:0.435,p=0.0037;psoriasis_skin_apc|mif_cd74_receptor_state:0.328,p=0.0074;ibd_uc_stromal|lysosomal_apc:0.381,p=0.012	8	17.0	6.0	0.0	1.0	0.0	3.0	0.0	Sjogren syndrome;psoriasis;ulcerative colitis		0.0008664311108731	0.0786931243281533	0.6308830417095495	2.5156464680961186			ibd_uc_stromal:0.624,p=0.00087;psoriasis_skin_apc:0.631,p=0.0088;ibd_uc_epithelial:0.501,p=0.018;psoriasis_keratinocyte:0.508,p=0.018;psoriasis_skin_stromal:0.563,p=0.025;sjogren_gland_apc:0.417,p=0.028	False	0.0379228326077143	0.0639627778239497	0.8814268776848122	0.983706262934398							3.92917045447283	1.2145852272364153	2.714585227236415	1.0	0.0	MS			False	False	0.0	17.196458522723642					6.5	CHEMBL6067175	Protein transport protein Sec61 subunit beta	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SEC61B&limit=10	P60468	Protein transport protein Sec61 subunit beta	Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:12475939). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane segments of proteins, while insertion of subsequent transmembrane regions of multi-pass membrane proteins is mediated by the multi-pass translocon (MPT) complex (PubMed:32820719, PubMed:36261522). The SEC61 channel cooperates with the translocating protein TRAM1 to import nascent proteins into the E	Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASEC61B%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
ACSL1	lipid_lysosomal_two_disease;mechanistic_scout	7.784525010177792	2.0	1.0	False	0.0335463402392637	0.9588038259244676	True	3	2	1	3	2	0	0	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:0.595,p=0.0092;ibd_crohn_myeloid:1.7,p=0.015;ibd_uc_myeloid:1.98,p=0.023	ibd_crohn_myeloid|hla_ii_apc:1.86,p=0.0008;ibd_crohn_stromal|complement_effector:0.607,p=0.0066;ibd_crohn_stromal|lysosomal_apc:0.573,p=0.0074;ibd_crohn_stromal|ifn_apc:0.598,p=0.0088;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.37,p=0.012;ibd_crohn_myeloid|mif_cd74_receptor_state:1.73,p=0.012;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.502,p=0.013;ibd_crohn_stromal|hla_ii_apc:0.573,p=0.013	7	17.0	4.0	1.0	0.0	0.0	2.0	1.0	Crohn disease;ulcerative colitis	type 1 diabetes mellitus	0.001604478363021	0.2122184894027283	3.1117281218474986	1.625502542696235	0.0321654711772118	-0.5208466574346824	ibd_crohn_stromal:2.48,p=0.0016;ibd_crohn_myeloid:3.08,p=0.014;ibd_uc_myeloid:3.11,p=0.016;ibd_crohn_epithelial:0.868,p=0.021	True	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.995447887770418							15.69050020355585	7.662899307586627	5.59010089596922	4.0	1.0	Crohn,MS,SLE_myeloid,UC	psoriasis	demoted_v2_marker_after_module_adjustment_and_simulation	False	False	0.0	7.784525010177792					6.5	CHEMBL4295746	Long-chain-fatty-acid--CoA ligase 1	SINGLE PROTEIN	Homo sapiens	41	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ACSL1&limit=10	P33121	Long-chain-fatty-acid--CoA ligase 1	Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:21242590, PubMed:22633490, PubMed:24269233). Preferentially uses palmitoleate, oleate and linoleate (PubMed:24269233). Preferentially activates arachidonate than epoxyeicosatrienoic acids (EETs) or hydroxyeicosatrienoic acids (HETEs) (By similarity)	Mitochondrion outer membrane;Peroxisome membrane;Microsome membrane;Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AACSL1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
IL7R	top_rank	19.0	3.0	0.0	False	-0.6536992297096775	0.5724603142052797	False	3	2	0	3	2	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_myeloid:3.85,p=0.00072;ibd_uc_stromal:2,p=0.017;ibd_crohn_myeloid:2.01,p=0.021	ibd_uc_myeloid|hla_ii_apc:3.16,p=0.0011;ibd_uc_myeloid|c1q_phagocytic_myeloid:2.96,p=0.002;ibd_crohn_myeloid|hla_ii_apc:2.2,p=0.0026;ibd_uc_myeloid|lipid_loader_repair:3.12,p=0.0038;ibd_uc_stromal|complement_effector:2.03,p=0.004;ibd_uc_stromal|inflammatory_nfkb:2.17,p=0.0065;ibd_uc_stromal|ifn_apc:1.92,p=0.0075;ibd_uc_myeloid|complement_phagocytosis:2.49,p=0.0087	9	16.0	4.0	0.0	3.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		4.390851964127251e-05	0.0299719555071326	6.766605239117763	3.2381831187499985			ibd_uc_myeloid:6.77,p=4.4e-05;ibd_crohn_myeloid:5.71,p=0.00013;ibd_uc_stromal:4.43,p=0.0014;t1d_stellate_cell:2.44,p=0.027	False	-0.6536992297096775	-0.2443129216912321	0.5724603142052797	0.9431647247323408															False	False	0.0	19.0					6.5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL7R&limit=10	P16871	Interleukin-7 receptor subunit alpha	Receptor for interleukin-7. Also acts as a receptor for thymic stromal lymphopoietin (TSLP)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AIL7R%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
PTPRE	four_disease_low_contradiction;top_rank	23.928982946376028	4.0	0.0	False	-0.2158191727655953	0.5499680359747707	False	4	2	0	4	2	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_myeloid:0.695,p=0.00063;ibd_uc_stromal:0.902,p=0.00065;ibd_crohn_myeloid:0.387,p=0.012;ibd_crohn_stromal:0.403,p=0.017	ibd_uc_stromal|hla_ii_apc:0.829,p=8.3e-05;ibd_uc_stromal|ifn_apc:0.917,p=8.9e-05;ibd_uc_stromal|complement_effector:0.899,p=0.00059;ibd_uc_stromal|lysosomal_apc:0.903,p=0.00062;ibd_uc_stromal|core_lysosomal_lipid:0.722,p=0.0034;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.605,p=0.0053;ibd_crohn_stromal|lysosomal_apc:0.425,p=0.006;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.437,p=0.0063	9	17.0	6.0	0.0	3.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0005462253501529	0.0846171573370176	1.863229429299393	2.59263420784311			ibd_crohn_myeloid:0.745,p=0.00055;ibd_uc_myeloid:0.803,p=0.00089;ibd_uc_stromal:1.86,p=0.0015;t1d_acinar_cell:1.28,p=0.032;ibd_crohn_stromal:1.06,p=0.032;psoriasis_keratinocyte:1.11,p=0.047	False	-0.2158191727655953	-0.2693364660712024	0.5499680359747707	0.9390010612097776							-1.4203410724794785	-2.9203410724794785	1.5	0.0	1.0		MS		False	False	0.0	23.928982946376028					6.5	CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	SINGLE PROTEIN	Homo sapiens	61	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPRE&limit=10	P23469	Receptor-type tyrosine-protein phosphatase epsilon	Isoform 1 and isoform 2 act as a negative regulator of FceRI-mediated signal transduction leading to cytokine production and degranulation, most likely by acting at the level of SYK to affect downstream events such as phosphorylation of SLP76 and LAT and mobilization of Ca(2+)	Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APTPRE%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	chembl_single_target_activity				
PDPN	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	False	0.1646831166015037	0.49717795424805	False	2	2	0	2	2	1	1	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:1.13,p=0.0055;psoriasis_skin_apc:0.421,p=0.0091	ibd_uc_stromal|ifn_apc:1.1,p=0.0011;ibd_uc_stromal|hla_ii_apc:1.17,p=0.0012;ibd_uc_stromal|complement_effector:1.15,p=0.0016;psoriasis_skin_apc|mif_cd74_receptor_state:0.365,p=0.0058;psoriasis_skin_apc|complement_phagocytosis:0.421,p=0.0061;psoriasis_skin_apc|hif_nampt_metabolic:0.424,p=0.0069;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.42,p=0.0075;ibd_uc_stromal|lysosomal_apc:1.06,p=0.009	11	16.0	5.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003776262931097	0.0551170230677552	2.2832934503389977	2.299946007761362			ibd_uc_stromal:2.28,p=0.00038;ibd_crohn_stromal:1.69,p=0.0026;ibd_uc_myeloid:2.26,p=0.022;t1d_ductal_cell:0.849,p=0.026;psoriasis_keratinocyte:0.965,p=0.034	False	0.1646831166015037	0.2972665130185128	0.49717795424805	0.927698641490189															False	False	0.0	19.0					6.5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDPN&limit=10	Q86YL7	Podoplanin	Mediates effects on cell migration and adhesion through its different partners. During development plays a role in blood and lymphatic vessels separation by binding CLEC1B, triggering CLEC1B activation in platelets and leading to platelet activation and/or aggregation (PubMed:14522983, PubMed:15231832, PubMed:17222411, PubMed:17616532, PubMed:18215137). Interaction with CD9, on the contrary, attenuates platelet aggregation induced by PDPN (PubMed:18541721). Through MSN or EZR interaction promotes epithelial-mesenchymal transition (EMT) leading to ERZ phosphorylation and triggering RHOA activation leading to cell migration increase and invasiveness (PubMed:17046996, PubMed:21376833). Interaction with CD44 promotes directional cell migration in epithelial and tumor cells (PubMed:20962267). I	Cytoplasm, cytosol	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDPN%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases;weak_external_modality	none_detected				
ACSL3	lipid_lysosomal_two_disease;mechanistic_scout;top_rank	17.0	3.0	0.0	False	0.2210563122194138	0.2754311664874719	True	4	2	0	4	2	0	0	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:0.37,p=0.0068;ibd_crohn_epithelial:0.308,p=0.0093;ibd_uc_epithelial:0.238,p=0.012;ibd_uc_myeloid:0.275,p=0.032	ibd_crohn_epithelial|lysosomal_apc:0.227,p=0.0021;ibd_uc_epithelial|complement_phagocytosis:0.228,p=0.0031;ibd_crohn_stromal|lysosomal_apc:0.358,p=0.0047;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.291,p=0.0051;ibd_crohn_stromal|lipid_loader_repair:0.373,p=0.0062;ibd_crohn_stromal|core_lysosomal_lipid:0.346,p=0.0069;ibd_crohn_stromal|hif_nampt_metabolic:0.369,p=0.0069;ibd_crohn_stromal|inflammatory_nfkb:0.369,p=0.007	10	17.0	5.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		5.862895522198751e-05	0.0364776796043658	1.0739970552681424	1.7454590728529693			ibd_crohn_epithelial:1.07,p=5.9e-05;ibd_crohn_stromal:0.806,p=0.0086;ibd_uc_stromal:0.388,p=0.018;ibd_uc_epithelial:0.896,p=0.03;t1d_endothelial_cell:0.965,p=0.032	True	0.2210563122194138	0.4772641853565081	0.2754311664874719	0.9049965616313804															False	False	0.0	17.0					6.5	CHEMBL4680023	Fatty acid CoA ligase Acsl3	SINGLE PROTEIN	Homo sapiens	8	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ACSL3&limit=10	O95573	Fatty acid CoA ligase Acsl3	Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490). Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins) (PubMed:18003621). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates. Both isoforms exhibit the same level of activity (By similarity)	Mitochondrion outer membrane;Peroxisome membrane;Microsome membrane;Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AACSL3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
