priority	target_or_axis	dataset_accession	source/system	cell_type_or_tissue	perturbation_or_contrast	controls	sample_size	downloadable_files	expected_resolution_readouts	expected_safety_readouts	feasibility	call
1	MERTK/efferocytosis	GSE156234	GEO; mouse single-cell RNA-seq	peritoneal macrophages	MerTK+/+ vs MerTK-/- across media, 2h apoptotic-cell co-culture, 6h apoptotic-cell co-culture	MerTK+/+ media and time-matched MerTK+/+ efferocytosis	6 GEO samples; scRNA aggregated raw counts	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156234/suppl/GSE156234_aggregated_raw_counts.tsv.gz	Mertk-dependent AC-induced resolution trajectory; Trem2/Apoe/Lpl/Abca1/Nr1h3/Ppar target expression; inflammatory lipid-lysosomal/APC module score shift	H2-Aa/H2-Ab1/Cd74/Ifi30/Ciita and generic Ifn module retained vs collapsed; stress/viability markers	Immediate; small but direct, single-cell, target/time interaction available	PRIMARY
2	efferocytosis pooled CRISPR regulators	GSE212008	GEO; primary macrophage pooled CRISPR knockout screen	BMDM	FACS-based genome-wide CRISPR KO screen: input vs non-eaters vs efficient eaters	input sgRNA pools; eater/non-eater bins	15 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212008/suppl/GSE212008_Screen_1and3_dedup_merged_filt_by_5pct_comb_Amp_filt_contamination_RAW_sgRNA_counts.txt.gz	Candidate genes whose loss increases or decreases efferocytosis; direct enrichment for Mertk/Axl/Tyro3/Gas6/Pros1/Trem2/Apoe/Lpl/Abca1/Npc/Lipa/CD300 neighborhood	No transcriptome; must intersect hits with non-collapse transcriptome datasets	Immediate for hit ranking; not sufficient alone because phenotypic screen lacks expression readout	PRIMARY_SCREEN
3	efferocytosis LXR/PPARD	GSE169160	GEO; human bulk RNA-seq	human CD14+ monocyte-derived macrophages	untreated macrophages vs macrophages co-cultured with apoptotic Jurkat T cells	untreated macrophages	12 samples; 6 untreated, 6 AC	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169160/suppl/GSE169160_Normalized_counts_MF.txt.gz; https://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169160/suppl/GSE169160_Normalized_reads_MF_AC.txt.gz	AC-induced LXR/PPARD/ABCA1/ABCG1/APOE/LPL and resolution/efferocytosis module; human comparator for mouse	evaluate generic IFN and HLA-II/CD74/GILT module changes; no inflammatory priming condition	Immediate; processed counts present; central positive control for resolution direction	PRIMARY
4	efferocytosis time course	GSE253577	GEO; mouse bulk RNA-seq	BMDM	alone vs apoptotic Jurkat co-culture at 45, 90, 180 min	alone BMDM	16 samples; 4 alone, 4 per AC time point	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253577/suppl/GSE253577_RNAseq_table_mouse_raw_counts.txt.gz	temporal ordering of resolution/efferocytosis, lipid handling, APC, and IFN modules; infer early vs late nodes	HLA-II/IFN collapse trajectories over time; passenger RNA caveat	Immediate; raw counts and time series; no target perturbation but mechanistically close	PRIMARY_TIMECOURSE
5	efferocytosis under IFN/IL10 polarization	GSE325329	GEO; mouse bulk RNA-seq	BMDM	M0, IFNg, or IL10-polarized macrophages; phagocytic vs non-phagocytic after apoptotic Treg/Tconv uptake	non-polarized M0 and non-phagocytic IFNg/IL10 conditions	28 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE325nnn/GSE325329/suppl/GSE325329_RAW.tar	Key test for whether efferocytosis/Treg corpse uptake resolves inflammatory state under IFNg without erasing IFN/HLA-II programs	Directly compare IFNg phagocytic vs IFNg non-phagocytic generic IFN and HLA-II modules	Immediate but requires raw tar parsing; excellent for “without generic IFN collapse”	PRIMARY
6	efferocytosis across resident macrophages	GSE325042	GEO; mouse bulk RNA-seq	peritoneal, recruited airway, resident airway macrophages	engulfing vs non-engulfing vs control corpse-clearance groups	tissue-matched non-engulfing and control groups	27 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE325nnn/GSE325042/suppl/GSE325042_raw_gene_counts.tsv.gz; https://ftp.ncbi.nlm.nih.gov/geo/series/GSE325nnn/GSE325042/suppl/GSE325042_genecounts_all.tsv.gz	Cross-tissue efferocytosis response; metallothionein/mitochondrial and lipid clearance axes	Generic IFN/HLA-II effects by macrophage compartment; tissue-context interactions	Immediate; processed and raw counts present	PRIMARY_REPLICATION
7	TREM2/microglia demyelination	GSE302857	GEO; mouse sorted microglia RNA-seq	microglia subsets in cuprizone demyelination	Trem2KO, Mef2a cKO, Egr2 cKO, WT; basal/cuprizone; sorted inflammatory subsets	WT basal/cuprizone and genotype-matched controls	81 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302857/suppl/	Trem2 dependence of lipid-lysosomal/demyelination microglial state; APOE/LPL/TYROBP and APC modules	Determine whether Trem2 loss reduces repair/lipid clearance while sparing or increasing IFN/HLA-II; MS-relevant anchor	Immediate; multiple raw/TPM text files but needs per-subfile parsing	PRIMARY_MS_ANCHOR
8	TREM2/microglia demyelination replication	GSE66926	GEO / ArrayExpress mirror E-GEOD-66926; mouse microarray	purified microglia	WT vs Trem2-/- during cuprizone and recovery	WT time-matched control/recovery	10 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66926/matrix/GSE66926_series_matrix.txt.gz; RAW.tar available	Trem2 recovery/demyelination module replication; older platform	Generic IFN/HLA-II proxy limited by microarray coverage	Immediate; small, older, but direct replication	SECONDARY_REPLICATION
9	TREM2/corpus callosum demyelination replication	GSE70475	GEO / ArrayExpress mirror E-GEOD-70475; mouse microarray	corpus callosum tissue	WT vs Trem2-/- after cuprizone 6 or 12 weeks	WT time-matched	18 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70475/matrix/GSE70475_series_matrix.txt.gz; RAW.tar available	Tissue-level effect of Trem2 loss on demyelination response	Confounded by tissue composition; generic IFN/HLA-II limited	Immediate; tissue rather than purified microglia	SECONDARY_WEAK
10	TREM2/DAM replication	GSE65067	GEO / ArrayExpress mirror E-GEOD-65067; mouse microarray	purified microglia	WT vs Trem2-/- with/without 5XFAD amyloid context	WT genotype/context matched	20 samples	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65067/matrix/GSE65067_series_matrix.txt.gz; RAW.tar available	TREM2 effect on DAM/lipid APOE/LPL program outside MS; cross-neurodegeneration comparator	Not demyelination or autoimmune; platform older	Immediate; useful comparator only	SECONDARY_COMPARATOR
