dataset	contrast	contrast_type	case_group	control_group	statistical_status	note	fibrosis_profibrotic	generic_ifn	lipid_lysosomal_apc	resolution_efferocytosis	stress_cytotoxicity	resolution_gain	lipid_apc_reduced	ifn_not_collapsed	stress_not_increased	profibrosis_not_increased	controller_like_module_pattern	resolution_without_ifn_collapse
GSE100260_human_LIPA_KO_iPSC_macrophages	LIPA_KO_vs_WT	group	LIPA_KO	LIPA_WT	welch_t	human iPSC macrophage LIPA loss	0.769763883499363	-0.2548708925993236	-0.5739519763629953	-0.0433155189199787	0.5648025947896795	False	True	True	False	False	False	False
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition	-1.280366720528485	-1.4165342200682045	-0.3561799472283261	-0.7985489669474586	-0.47972071037381303	False	True	False	True	True	False	False
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition	-1.6923658440364884	0.04763688057149551	0.6735061556821131	0.18324221532647744	1.0803931906991666	False	False	True	False	True	False	False
GSE156234_Mertk_scRNA_pseudobulk	Mertk_dependency_2h_interaction	interaction	WT_2h_AC_vs_WT_Ctrl	MertkKO_2h_AC_vs_MertkKO_Ctrl	descriptive_interaction_from_module_deltas	MERTK-dependent component of 2h efferocytosis response; descriptive	1.2749271996035358	2.0000168575218438	0.029910965686470337	0.023387950903843824	0.402236814867535	False	False	True	True	False	False	False
GSE156234_Mertk_scRNA_pseudobulk	Mertk_dependency_6h_interaction	interaction	WT_6h_AC_vs_WT_Ctrl	MertkKO_6h_AC_vs_MertkKO_Ctrl	descriptive_interaction_from_module_deltas	MERTK-dependent component of 6h efferocytosis response; descriptive	1.0883159090449475	-0.7293722471384959	-0.9098198410936518	-0.883723145672304	-1.5859003011397301	False	True	True	True	False	False	False
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition	-0.005439520924949051	0.5834826374536392	-0.32626898154185574	-0.7751610160436148	-0.07748389550627804	False	True	True	True	True	False	False
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition	-0.6040499349915408	-0.6817353665670004	-0.23631368541153863	-0.7004809303458266	-0.5055071104405635	False	False	True	True	True	False	False
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	welch_t	human macrophage apoptotic-cell exposure	0.2823980563086089	-0.08091406230559475	0.013068331221481617	0.02450770880814459	0.20212886659511334	False	False	True	True	True	False	False
GSE243117_mouse_LipaOE_peritoneal_macrophages	LipaOE_vs_Control_PM	group	LipaOE	Control	welch_t	mouse peritoneal macrophage Lipa overexpression	-0.07373794432268219	1.3633957507809225	0.47775046093267703	0.10605087388941878	-0.6190896791394225	False	False	True	True	True	False	False
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	welch_t	mouse efferocytosis time course	0.4241981249051062	-2.006017173572605	0.5428144617036591	0.5634090231236193	0.21024216543345758	True	False	False	True	True	False	False
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	welch_t	mouse efferocytosis time course	-0.13162240215362614	0.015212242409111676	0.11135909260310685	-0.12358330664394304	0.11849961189268984	False	False	True	True	True	False	False
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	welch_t	mouse efferocytosis time course	-0.33856614469003543	-0.1362905849647335	-0.18382977139193726	0.04824203639526661	-0.13874757486848294	False	False	True	True	True	False	False
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	welch_t	GpnmbR150X baseline	-0.49669294674643427	0.04889480592703799	1.270806243832392	0.47612271142419615	0.5954067617318846	True	False	True	False	True	False	False
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_interaction	interaction	GpnmbR150X_OxLDL_vs_WT_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	descriptive_interaction_from_module_deltas	GPNMB mutation effect under OxLDL beyond baseline genotype effect	0.7625673702649325	0.0877806624748182	-0.7598157209247695	0.02703216409689635	0.44548875307876346	False	True	True	True	False	False	False
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	welch_t	GpnmbR150X under OxLDL lipid loading	0.2658744235184982	0.13667546840185618	0.5109905229076225	0.5031548755210925	1.040895514810648	True	False	True	False	True	False	False
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	welch_t	mouse plaque macrophage Lipa overexpression	0.716622395497359	-0.502704012906867	-0.24384556727275009	0.09630299806097595	-0.6048251331555702	False	False	True	True	False	False	False
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	welch_t	RXR agonist bexarotene CNS myeloid	-0.3160448277618295	-0.09390065935170161	0.024431353111945192	0.28613503439365795	-0.341876104704202	True	False	True	True	True	False	True
GSE287142_RXR_bexarotene_CNS_myeloid	StrokeAged_BEX_vs_StrokeAged_vehicle	group	StrokeAged_BEX	StrokeAged_vehicle	welch_t	RXR agonist bexarotene CNS myeloid	-0.41052214322634073	-0.3844350594900011	-0.10259313247753707	-0.22218162574709271	-0.4437511313949071	False	False	True	True	True	False	False
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	welch_t	RXR agonist bexarotene CNS myeloid	-0.672299677433971	-0.016826485419277226	-0.18965128368272027	0.050384047726129116	-0.8593501105839116	False	False	True	True	True	False	False
GSE302857_Trem2KO_cuprizone_microglia	Trem2KO_Basal_vs_WT_Basal	group	Trem2KO_Basal	WT_Basal	welch_t	Trem2/cuprizone sorted microglia	-0.2144834803517135	-0.15406397498381352	-0.3449240313415117	-0.2763857890095732	0.044296101693399814	False	True	True	True	True	False	False
GSE302857_Trem2KO_cuprizone_microglia	Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	group	Trem2KO_CPZ_cd229pos_cd11cneg	WT_CPZ_cd229pos_cd11cneg	welch_t	Trem2/cuprizone sorted microglia	-0.7219761998988747	0.14630676649517727	-1.0366243528382362	-0.4531098385018223	-0.3180041286097027	False	True	True	True	True	False	False
GSE302857_Trem2KO_cuprizone_microglia	Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	group	Trem2KO_CPZ_neg_neg	WT_CPZ_neg_neg	welch_t	Trem2/cuprizone sorted microglia	0.10049822979347446	-0.5635657617170304	-0.9783066452511036	-0.6034801592263397	-0.3906253166759812	False	True	True	True	True	False	False
GSE302857_Trem2KO_cuprizone_microglia	WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	group	WT_CPZ_cd229pos_cd11cneg	WT_Basal	welch_t	Trem2/cuprizone sorted microglia	0.028007231316513947	1.8965707167369015	2.004999176770743	0.7208863024546395	-1.0603425043394683	True	False	True	True	True	False	True
GSE302857_Trem2KO_cuprizone_microglia	WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	group	WT_CPZ_cd229pos_cd11cpos	WT_Basal	welch_t	Trem2/cuprizone sorted microglia	-0.6611270272546459	2.0360505310561656	2.172439263181619	0.7179001187488981	-1.0800720598383657	True	False	True	True	True	False	True
GSE302857_Trem2KO_cuprizone_microglia	WT_CPZ_neg_neg_vs_WT_Basal	group	WT_CPZ_neg_neg	WT_Basal	welch_t	Trem2/cuprizone sorted microglia	-0.35194246919270317	1.582609957935655	1.126992110050847	0.3431301468305068	-0.28493734301180856	True	False	True	True	True	False	True
