source	query	url	status	cache_file
PubChem PUG-REST	STXBWZSVEOQYLQ-UHFFFAOYSA-N	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/STXBWZSVEOQYLQ-UHFFFAOYSA-N/cids/JSON	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/pubchem_cids_inchikey_STXBWZSVEOQYLQ-UHFFFAOYSA-N.json
PubChem PUG-REST	3689416	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3689416/property/IUPACName,MolecularFormula,MolecularWeight,XLogP,TPSA,CanonicalSMILES,InChIKey/JSON	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/pubchem_properties_3689416.json
PubChem PUG-REST	3689416	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3689416/synonyms/JSON	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/pubchem_synonyms_3689416.json
ChEMBL	CHEMBL1472126	https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1472126.json	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/chembl_molecule_CHEMBL1472126.json
ChEMBL	CHEMBL1472126	https://www.ebi.ac.uk/chembl/api/data/mechanism.json?molecule_chembl_id=CHEMBL1472126&limit=1000	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/chembl_mechanisms_CHEMBL1472126.json
ChEMBL	CHEMBL1472126	https://www.ebi.ac.uk/chembl/api/data/activity.json?molecule_chembl_id=CHEMBL1472126&limit=1000	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/chembl_activities_CHEMBL1472126.json
L1000FWD DMOA	BRD-A72180425	https://maayanlab.cloud/dmoa/report/BRD-A72180425	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/dmoa_BRD-A72180425.html
NCBI Bookshelf	BRD-A72180425	https://www.ncbi.nlm.nih.gov/books/NBK55069/table/ml162.t2/	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/ncbi_ml162_table_t2.html
Europe PMC	"""BRD-A72180425"" OR ""K-784-3188"" OR ""STXBWZSVEOQYLQ-UHFFFAOYSA-N"""	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22BRD-A72180425%22+OR+%22K-784-3188%22+OR+%22STXBWZSVEOQYLQ-UHFFFAOYSA-N%22&format=json&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/europepmc__BRD-A72180425_OR_K-784-3188_OR_STXBWZSVEOQYLQ-UHFFFAOYSA-N.json
Europe PMC	"""CHEMBL1472126"""	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CHEMBL1472126%22&format=json&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/europepmc__CHEMBL1472126.json
Europe PMC	"""ML162"" AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR ""lupus"" OR ""IBD"" OR ""psoriasis"")"	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22ML162%22+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+%22lupus%22+OR+%22IBD%22+OR+%22psoriasis%22%29&format=json&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/europepmc__ML162_AND_autoimmune_OR_multiple_sclerosis_OR_rheumatoid_arthritis_OR_lupus_OR_IBD_OR_psoriasis.json
Europe PMC	"""GPX4 inhibitor"" AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR ""lupus"" OR ""IBD"" OR ""psoriasis"")"	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GPX4+inhibitor%22+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+%22lupus%22+OR+%22IBD%22+OR+%22psoriasis%22%29&format=json&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/europepmc__GPX4_inhibitor_AND_autoimmune_OR_multiple_sclerosis_OR_rheumatoid_arthritis_OR_lupus_OR_IBD_OR_psoriasis.json
ClinicalTrials.gov	K-784-3188	https://clinicaltrials.gov/api/v2/studies?query.term=K-784-3188&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/clinicaltrials_K-784-3188.json
ClinicalTrials.gov	CHEMBL1472126	https://clinicaltrials.gov/api/v2/studies?query.term=CHEMBL1472126&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/clinicaltrials_CHEMBL1472126.json
ClinicalTrials.gov	ML162 autoimmune	https://clinicaltrials.gov/api/v2/studies?query.term=ML162+autoimmune&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/clinicaltrials_ML162_autoimmune.json
ClinicalTrials.gov	GPX4 inhibitor autoimmune	https://clinicaltrials.gov/api/v2/studies?query.term=GPX4+inhibitor+autoimmune&pageSize=1	cache_hit	results_v3/wave41_l1000_external_unknown_deconvolution/raw_api/clinicaltrials_GPX4_inhibitor_autoimmune.json
