gene	source	path	call	score	gwas_trait_count	gwas_min_p	local_positive_disease_count	local_negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_core_covariate_surviving_disease_count	chembl_activity_count	europepmc_hit_count	clinicaltrials_hit_count	blocker_or_reason
FXYD5	wave47	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	PARK_ONLY_IF_NEW_PERTURBATION	10.5														; ; ; directional_negative_disease_signal; reachable protein class by UniProt location/features; ; wave40_override=MS_anchor_nominal_or_trend_only_not_FDR_supported; NaK_ATPase_regulator_direction_not_autoimmune_specific; breadth_or_MS_anchor_below_promotion_gate; no_ChEMBL_activity_or_defined_antibody_modality_in_local_scan; no_strict_core_covariate_residual_survival; same_gene_has_negative_disease_or_compartment_signal; single_negative_Crohn_signal_conflicts_with_cross_disease_direction
FAP	wave47	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	10.2125														Genetic signal survives triage but direction/modality is not clean enough for promotion.; Druggable stromal gene with GWAS Catalog breadth, but likely locus-proxy/tissue-remodeling rather than target-level immune causality.
FXYD5	wave47	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	PARK_ONLY_IF_NEW_PERTURBATION															MS_anchor_nominal_or_trend_only_not_FDR_supported; NaK_ATPase_regulator_direction_not_autoimmune_specific; breadth_or_MS_anchor_below_promotion_gate; no_ChEMBL_activity_or_defined_antibody_modality_in_local_scan; no_strict_core_covariate_residual_survival; same_gene_has_negative_disease_or_compartment_signal; single_negative_Crohn_signal_conflicts_with_cross_disease_direction
FAP	wave34a	results_v3/wave34a_genetics_first_target_rescue/genetics_first_candidate_rank.tsv	PARK_DIRECTION_OR_MODALITY_UNRESOLVED	10.2125	15.0	6e-25	2.0	0.0	type 1 diabetes mellitus;ulcerative colitis							4518.0		Genetic signal survives triage but direction/modality is not clean enough for promotion.
FAP	wave34	results_v3/wave34_genetics_expression_druggability_scan/wave34_genetics_expression_druggability_rank.tsv	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	15.5	15.0	6e-25	2.0		type 1 diabetes mellitus;ulcerative colitis						0.0	5892.0	19.0	
FXYD5	wave39	results_v3/wave39_surfaceome_rescue_after_resolution_pivot/surfaceome_rescue_rank.tsv	PARK_REVIEW	10.5			4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.3524746864413863	0.0587113391653537				104.0		directional_negative_disease_signal; reachable protein class by UniProt location/features
FXYD5	wave40	results_v3/wave40_parked_surface_failfast/parked_surface_failfast.tsv		10.5			4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.3524746864413863	0.0587113391653537	0.8989378106274888	0.0		104.0		MS_anchor_nominal_or_trend_only_not_FDR_supported; NaK_ATPase_regulator_direction_not_autoimmune_specific; breadth_or_MS_anchor_below_promotion_gate; no_ChEMBL_activity_or_defined_antibody_modality_in_local_scan; no_strict_core_covariate_residual_survival; same_gene_has_negative_disease_or_compartment_signal; single_negative_Crohn_signal_conflicts_with_cross_disease_direction
FXYD5	broad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv		18.0			4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	0.3524746864413863	0.0587113391653537	0.8989378106274888					
FAP	broad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv		10.0			2.0		type 1 diabetes mellitus;ulcerative colitis									
FXYD5	residual	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv		18.0			4.0	1.0			0.3524746864413863	0.0587113391653537		0.0				
