predictor	analysis	disease_name	compartment	role	n_case	rho	p
c1q_phagocytic_myeloid	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	-0.3714285714285715	0.4684781341107872
c1q_phagocytic_myeloid	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.3714285714285715	0.4684781341107872
c1q_phagocytic_myeloid	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.5428571428571429	0.26570262390670546
c1q_phagocytic_myeloid	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	0.48571428571428577	0.3287230320699708
c1q_phagocytic_myeloid	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.08571428571428573	0.8717434402332361
c1q_phagocytic_myeloid	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.028571428571428574	0.9571545189504373
c1q_phagocytic_myeloid	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	1.0	0.0
c1q_phagocytic_myeloid	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	1.0	0.0
c1q_phagocytic_myeloid	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	1.0	0.0
c1q_phagocytic_myeloid	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	18	0.44685242518059853	0.06301029106386724
c1q_phagocytic_myeloid	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.43333333333333335	0.24395243588005172
c1q_phagocytic_myeloid	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.45454545454545453	0.16014543725525887
c1q_phagocytic_myeloid	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.28484848484848485	0.4250381548921453
c1q_phagocytic_myeloid	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.7999999999999999	0.10408803866182788
c1q_phagocytic_myeloid	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
c1q_phagocytic_myeloid	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.0	1.0
c1q_phagocytic_myeloid	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.7	0.1881204043741873
c1q_phagocytic_myeloid	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	1.0	0.0
complement_effector	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.48571428571428577	0.3287230320699708
complement_effector	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.48571428571428577	0.3287230320699708
complement_effector	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	-0.5428571428571429	0.26570262390670546
complement_effector	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	0.6	0.208
complement_effector	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.48571428571428577	0.3287230320699708
complement_effector	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.6571428571428573	0.1561749271137024
complement_effector	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
complement_effector	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	1.0	0.0
complement_effector	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	0.5	0.6666666666666666
complement_effector	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	18	0.49226006191950467	0.03796502128315262
complement_effector	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.7666666666666667	0.01594401657897403
complement_effector	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.5909090909090909	0.05557560428877467
complement_effector	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.04242424242424241	0.9073638178128159
complement_effector	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	0.7	0.1881204043741873
complement_effector	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
complement_effector	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.7	0.1881204043741873
complement_effector	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.3	0.623837664781073
complement_effector	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	-0.19999999999999998	0.8
hif_nampt_metabolic	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.48571428571428577	0.3287230320699708
hif_nampt_metabolic	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	-0.14285714285714288	0.7871720116618076
hif_nampt_metabolic	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.3142857142857143	0.5440932944606415
hif_nampt_metabolic	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.5428571428571429	0.26570262390670546
hif_nampt_metabolic	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.14285714285714288	0.7871720116618076
