study_id	feature_id	analysis_id	analysis_summary	metabolite_name	refmet_name	feature_label	units	metabolite_class
ST002470	ME582973	AN004029	HILIC POSITIVE ION MODE	13-cis-Retinoic acid	13-cis-Retinoic acid	13-cis-Retinoic acid	Abundance	unclassified
ST002470	ME583207	AN004029	HILIC POSITIVE ION MODE	1-Methyladenosine	1-Methyladenosine	1-Methyladenosine	Abundance	purine
ST002470	ME582975	AN004029	HILIC POSITIVE ION MODE	1-Methylguanine	1-Methylguanine	1-Methylguanine	Abundance	purine
ST002470	ME582976	AN004029	HILIC POSITIVE ION MODE	1-Methylguanosine	1-Methylguanosine	1-Methylguanosine	Abundance	purine
ST002470	ME582977	AN004029	HILIC POSITIVE ION MODE	1-Methylhistamine	1-Methylhistamine	1-Methylhistamine	Abundance	unclassified
ST002470	ME582974	AN004029	HILIC POSITIVE ION MODE	1-Methyl nicotinamide	1-Methyl nicotinamide	1-Methyl nicotinamide	Abundance	nicotinamide_nad
ST002470	ME582978	AN004029	HILIC POSITIVE ION MODE	2-Aminobenzoic acid	2-Aminobenzoic acid	2-Aminobenzoic acid	Abundance	unclassified
ST002470	ME583223	AN004029	HILIC POSITIVE ION MODE	2-Aminooctanoic acid	2-Aminocaprylic acid	2-Aminocaprylic acid	Abundance	unclassified
ST002470	ME582980	AN004029	HILIC POSITIVE ION MODE	3-Dehydroxycarnitine	3-Dehydroxycarnitine	3-Dehydroxycarnitine	Abundance	acylcarnitine
ST002470	ME582981	AN004029	HILIC POSITIVE ION MODE	3-Methylhistidine	3-Methylhistidine	3-Methylhistidine	Abundance	amino_acid
ST002470	ME582982	AN004029	HILIC POSITIVE ION MODE	3-Methylxanthine	3-Methylxanthine	3-Methylxanthine	Abundance	purine
ST002470	ME582979	AN004029	HILIC POSITIVE ION MODE	3-(N-Acetyl-L-cystein-S-yl) acetaminophen	3-(N-Acetyl-L-cystein-S-yl) acetaminophen	3-(N-Acetyl-L-cystein-S-yl) acetaminophen	Abundance	unclassified
ST002470	ME582983	AN004029	HILIC POSITIVE ION MODE	4-Acetamidobutanoic acid	4-Acetamidobutanoic acid	4-Acetamidobutanoic acid	Abundance	unclassified
ST002470	ME583208	AN004029	HILIC POSITIVE ION MODE	4-Aminohippuric acid	4-Aminohippuric acid	4-Aminohippuric acid	Abundance	purine
ST002470	ME583209	AN004029	HILIC POSITIVE ION MODE	4-Guanidinobutanoic acid	4-Guanidinobutanoic acid	4-Guanidinobutanoic acid	Abundance	unclassified
ST002470	ME582984	AN004029	HILIC POSITIVE ION MODE	4-Pyridoxic acid	4-Pyridoxic acid	4-Pyridoxic acid	Abundance	unclassified
ST002470	ME582985	AN004029	HILIC POSITIVE ION MODE	5-Acetylamino-6-amino-3-methyluracil	5-Acetylamino-6-amino-3-methyluracil	5-Acetylamino-6-amino-3-methyluracil	Abundance	pyrimidine
ST002470	ME582986	AN004029	HILIC POSITIVE ION MODE	5-Amino-levulinic acid	5-Amino-levulinic acid	5-Amino-levulinic acid	Abundance	unclassified
ST002470	ME582987	AN004029	HILIC POSITIVE ION MODE	7-Methylguanine	7-Methylguanine	7-Methylguanine	Abundance	purine
ST002470	ME583210	AN004029	HILIC POSITIVE ION MODE	7-Methylxanthine	7-Methylxanthine	7-Methylxanthine	Abundance	purine
ST002470	ME582988	AN004029	HILIC POSITIVE ION MODE	Acetaminophen	Acetaminophen	Acetaminophen	Abundance	unclassified
ST002470	ME582989	AN004029	HILIC POSITIVE ION MODE	Acisoga	Acisoga	Acisoga	Abundance	unclassified
ST002470	ME582990	AN004029	HILIC POSITIVE ION MODE	Adenosine	Adenosine	Adenosine	Abundance	purine
ST002470	ME582991	AN004029	HILIC POSITIVE ION MODE	Agmatine	Agmatine	Agmatine	Abundance	unclassified
ST002470	ME582992	AN004029	HILIC POSITIVE ION MODE	Ala-Ala	Ala-Ala	Ala-Ala	Abundance	unclassified
ST002470	ME582993	AN004029	HILIC POSITIVE ION MODE	Alanine	Alanine	Alanine	Abundance	amino_acid
ST002470	ME583211	AN004029	HILIC POSITIVE ION MODE	Allantoin	Allantoin	Allantoin	Abundance	unclassified
ST002470	ME582994	AN004029	HILIC POSITIVE ION MODE	alpha-N-Phenylacetylglutamine	alpha-N-Phenylacetylglutamine	alpha-N-Phenylacetylglutamine	Abundance	amino_acid
ST002470	ME582995	AN004029	HILIC POSITIVE ION MODE	alpha-Tocopherol	alpha-Tocopherol	alpha-Tocopherol	Abundance	unclassified
ST002470	ME582996	AN004029	HILIC POSITIVE ION MODE	Aminoisobutyric acid	Aminoisobutyric acid	Aminoisobutyric acid	Abundance	unclassified
ST002470	ME582997	AN004029	HILIC POSITIVE ION MODE	Anserine	Anserine	Anserine	Abundance	amino_acid
ST002470	ME582998	AN004029	HILIC POSITIVE ION MODE	Arginine	Arginine	Arginine	Abundance	amino_acid
ST002470	ME582999	AN004029	HILIC POSITIVE ION MODE	Asparagine	Asparagine	Asparagine	Abundance	amino_acid
ST002470	ME583000	AN004029	HILIC POSITIVE ION MODE	Aspartic acid	Aspartic acid	Aspartic acid	Abundance	amino_acid
ST002470	ME583001	AN004029	HILIC POSITIVE ION MODE	beta-Alanine	beta-Alanine	beta-Alanine	Abundance	amino_acid
ST002470	ME583002	AN004029	HILIC POSITIVE ION MODE	Betaine	Betaine	Betaine	Abundance	unclassified
ST002470	ME583003	AN004029	HILIC POSITIVE ION MODE	Biliverdin	Biliverdin	Biliverdin	Abundance	unclassified
ST002470	ME583004	AN004029	HILIC POSITIVE ION MODE	C16 Sphingosine	C16 Sphingosine	C16 Sphingosine	Abundance	unclassified
ST002470	ME583005	AN004029	HILIC POSITIVE ION MODE	C17 Sphinganine	C17 Sphinganine	C17 Sphinganine	Abundance	unclassified
ST002470	ME583006	AN004029	HILIC POSITIVE ION MODE	C20 Sphinganine	C20 Sphinganine	C20 Sphinganine	Abundance	unclassified
ST002470	ME583007	AN004029	HILIC POSITIVE ION MODE	C20 Sphingosine	C20 Sphingosine	C20 Sphingosine	Abundance	unclassified
ST002470	ME583008	AN004029	HILIC POSITIVE ION MODE	C22 Sphingosine	C22 Sphingosine	C22 Sphingosine	Abundance	unclassified
ST002470	ME583009	AN004029	HILIC POSITIVE ION MODE	Caffeine	Caffeine	Caffeine	Abundance	unclassified
ST002470	ME583227	AN004029	HILIC POSITIVE ION MODE	CAR 10:0	CAR 10:0	CAR 10:0	Abundance	unclassified
ST002470	ME583010	AN004029	HILIC POSITIVE ION MODE	CAR 10:1	CAR 10:1	CAR 10:1	Abundance	unclassified
ST002470	ME583011	AN004029	HILIC POSITIVE ION MODE	CAR 12:0	CAR 12:0	CAR 12:0	Abundance	unclassified
ST002470	ME583012	AN004029	HILIC POSITIVE ION MODE	CAR 12:1	CAR 12:1	CAR 12:1	Abundance	unclassified
ST002470	ME583013	AN004029	HILIC POSITIVE ION MODE	CAR 14:0	CAR 14:0	CAR 14:0	Abundance	unclassified
ST002470	ME583014	AN004029	HILIC POSITIVE ION MODE	CAR 14:1	CAR 14:1	CAR 14:1	Abundance	unclassified
ST002470	ME583015	AN004029	HILIC POSITIVE ION MODE	CAR 14:2	CAR 14:2	CAR 14:2	Abundance	unclassified
ST002470	ME583016	AN004029	HILIC POSITIVE ION MODE	CAR 16:0	CAR 16:0	CAR 16:0	Abundance	unclassified
ST002470	ME583017	AN004029	HILIC POSITIVE ION MODE	CAR 18:0	CAR 18:0	CAR 18:0	Abundance	unclassified
ST002470	ME583018	AN004029	HILIC POSITIVE ION MODE	CAR 18:1	CAR 18:1	CAR 18:1	Abundance	unclassified
ST002470	ME583019	AN004029	HILIC POSITIVE ION MODE	CAR 18:2	CAR 18:2	CAR 18:2	Abundance	unclassified
ST002470	ME583020	AN004029	HILIC POSITIVE ION MODE	CAR 2:0	CAR 2:0	CAR 2:0	Abundance	unclassified
ST002470	ME583021	AN004029	HILIC POSITIVE ION MODE	CAR 20:4	CAR 20:4	CAR 20:4	Abundance	unclassified
ST002470	ME583228	AN004029	HILIC POSITIVE ION MODE	CAR 26:0	CAR 26:0	CAR 26:0	Abundance	unclassified
ST002470	ME583022	AN004029	HILIC POSITIVE ION MODE	CAR 3:0	CAR 3:0	CAR 3:0	Abundance	unclassified
ST002470	ME583023	AN004029	HILIC POSITIVE ION MODE	CAR 4:0	CAR 4:0	CAR 4:0	Abundance	unclassified
ST002470	ME583024	AN004029	HILIC POSITIVE ION MODE	CAR 4:0;OH	CAR 4:0;OH	CAR 4:0;OH	Abundance	unclassified
ST002470	ME583025	AN004029	HILIC POSITIVE ION MODE	CAR 5:0	CAR 5:0	CAR 5:0	Abundance	unclassified
ST002470	ME583026	AN004029	HILIC POSITIVE ION MODE	CAR 5:1	CAR 5:1	CAR 5:1	Abundance	unclassified
ST002470	ME583225	AN004029	HILIC POSITIVE ION MODE	CAR 6:0	CAR 6:0	CAR 6:0	Abundance	unclassified
ST002470	ME583226	AN004029	HILIC POSITIVE ION MODE	CAR 7:0	CAR 7:0	CAR 7:0	Abundance	unclassified
ST002470	ME583027	AN004029	HILIC POSITIVE ION MODE	CAR 8:0	CAR 8:0	CAR 8:0	Abundance	unclassified
ST002470	ME583028	AN004029	HILIC POSITIVE ION MODE	CAR 9:0	CAR 9:0	CAR 9:0	Abundance	unclassified
ST002470	ME583029	AN004029	HILIC POSITIVE ION MODE	CAR DC3:0;2Me	CAR DC3:0;2Me	CAR DC3:0;2Me	Abundance	unclassified
ST002470	ME583030	AN004029	HILIC POSITIVE ION MODE	CAR DC5:0	CAR DC5:0	CAR DC5:0	Abundance	unclassified
ST002470	ME583031	AN004029	HILIC POSITIVE ION MODE	CAR DC6:0	CAR DC6:0	CAR DC6:0	Abundance	unclassified
ST002470	ME583032	AN004029	HILIC POSITIVE ION MODE	Carnitine	Carnitine	Carnitine	Abundance	acylcarnitine
ST002470	ME583033	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/14:0	Cer 18:1;O2/14:0	Cer 18:1;O2/14:0	Abundance	ceramide
ST002470	ME583034	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/16:0	Cer 18:1;O2/16:0	Cer 18:1;O2/16:0	Abundance	ceramide
ST002470	ME583035	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/16:1	Cer 18:1;O2/16:1	Cer 18:1;O2/16:1	Abundance	ceramide
ST002470	ME583036	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/18:0	Cer 18:1;O2/18:0	Cer 18:1;O2/18:0	Abundance	ceramide
ST002470	ME583037	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/18:1	Cer 18:1;O2/18:1	Cer 18:1;O2/18:1	Abundance	ceramide
ST002470	ME583038	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/20:0	Cer 18:1;O2/20:0	Cer 18:1;O2/20:0	Abundance	ceramide
ST002470	ME583039	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/20:1	Cer 18:1;O2/20:1	Cer 18:1;O2/20:1	Abundance	ceramide
ST002470	ME583040	AN004029	HILIC POSITIVE ION MODE	Cer 18:1;O2/22:0	Cer 18:1;O2/22:0	Cer 18:1;O2/22:0	Abundance	ceramide
