candidate_node	connected_anchor_count	connected_anchors	connection_roles	connection_weight_sum	connection_weight_max	source_database_count	top_source_databases	best_enrichr_tf_library	best_enrichr_tf_term	best_enrichr_tf_adjusted_p	best_enrichr_tf_overlap
GSK3B	3	ARHGAP31;CD274;NCF1	incoming_to_anchor	16.951753511769745	5.999434497146563	9	KEA;NetworKIN_KEA;PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper				
FYN	3	FCGR2A;FCGR2B;LPP	incoming_to_anchor	16.529308597920572	7.0221028151652645	25	DOMINO;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA				
SRC	3	FCGR2A;FCGR2B;LPP	incoming_to_anchor	16.529308597920572	7.0221028151652645	10	DOMINO;KEGG-MEDICUS;Li2012;PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;Reactome_ProtMapper;SPIKE_LC;dbPTM				
RELA	3	CD274;TNFRSF9;TNFSF15	manual_seed_controller	14.817595846174745	5.999434497146563	1	manual_seed_from_immediate_known_biology				
JAK1	2	CD274;IL7R	incoming_to_anchor;manual_seed_controller;outgoing_from_anchor	33.90820588034238	7.303112295349752	14	HPRD;InnateDB;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;SPIKE_LC;Sparser_ProtMapper				
JAK2	2	CD274;STAT4	incoming_to_anchor;manual_seed_controller	22.939415375567624	8.46999043921053	10	KEGG-MEDICUS;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;manual_seed_from_immediate_known_biology				
PDCD1	2	CD274;FCGR2A	manual_seed_controller;outgoing_from_anchor	17.44738784157274	5.999434497146563	23	BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;Guide2Pharma;HINT;HPRD;ICELLNET;InnateDB				
CD80	2	CD274;CD80	incoming_to_anchor;outgoing_from_anchor;self_anchor	16.409012996973168	5.999434497146563	14	Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HINT;ICELLNET;IntAct;LRdb;Lit-BM-17;Wojtowicz2020				
SYK	2	FCGR2A;FCGR2B	incoming_to_anchor;manual_seed_controller	14.955724630034924	5.448518847279617	27	BioGRID;CellTalkDB;HINT;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;LRdb;Li2012;MIMP				
CD274	2	CD274;CD80	incoming_to_anchor;outgoing_from_anchor;self_anchor	14.819722502506647	5.999434497146563	14	Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HINT;ICELLNET;IntAct;LRdb;Lit-BM-17;Wojtowicz2020				
MAPK14	2	NCF1;STAT4	incoming_to_anchor	13.607510149407986	8.46999043921053	26	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NCI-PID_ProtMapper;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP				
INSR	2	FCGR2A;LPP	incoming_to_anchor	12.47062166244488	7.0221028151652645	2	KEA;NetworKIN_KEA				
PRKDC	2	NCF1;RGS14	incoming_to_anchor	12.125557753384756	6.9880380431873	2	KEA;NetworKIN_KEA				
GSK3A	2	ARHGAP31;CD274	incoming_to_anchor	11.814233801572287	5.999434497146563	7	PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet				
