analysis	disease_name	compartment	role	ligand_effect	ligand_p	gpr183_effect	gpr183_p	lymphoid_response_effect	myeloid_response_effect	best_response_effect	best_response_p	ligand_pass	gpr183_anchor_pass	response_pass	coherent_program_pass
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	1.4031780493963935	0.0018405488245703207	0.6952280183326858	0.5694688335435334	0.47134163268480284	0.996654254620986	0.996654254620986	0.026530735137177807	True	False	True	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	0.8714948404706867	0.09391996650141991	1.0447685424676991	0.31320431044433705	1.666758428928695	1.5212865357101109	1.666758428928695	0.0033572778282159833	True	False	True	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	0.43607164499379997	0.035264175909388566	0.174490272584245	0.4518700712563468	0.5281550697259652	0.20483483644838377	0.5281550697259652	0.08986014336886551	True	False	True	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	0.4264817049510337	0.035671340690226455	-0.1082652916562196	0.8173308974440575	0.37628515328786416	-0.14099671225290059	0.37628515328786416	0.6317460097792859	True	False	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	0.3649463556598834	0.18835218058500913	0.4374128207154784	0.3669730803744491	0.5297871981456873	0.2679876616242349	0.5297871981456873	0.003553965309566657	True	False	True	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	0.29383828047870886	0.6098865278849033	0.6731743726654338	0.24136452213284187	0.8614916703072111	0.017731347614062212	0.8614916703072111	0.09511340563430085	False	False	True	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	0.28621966983641256	0.18692690886041696	-0.6470595637869949	0.3445086431728491	0.00246680875362702	0.17530876637701656	0.17530876637701656	0.16804330313307414	True	False	False	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	0.23452243275661966	0.48100291834929787	0.975302839797214	0.14133886917618182	2.8046547137624556	2.5166383272467368	2.8046547137624556	5.320992591828428e-09	False	True	True	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	0.06017636325505206	0.9205752233676625	1.0385480940916807	0.09693210316192737	2.3213772661445233	2.466632101351478	2.466632101351478	1.9824962091908655e-08	False	True	True	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	0.03583016674550492	0.32641390622509925	0.7168551823734177	0.5778244446088122	1.2113059650733597	0.590984888312716	1.2113059650733597	0.022598337245701143	False	False	True	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	0.019006504747335437	0.9417312379281083	0.4366689388990394	0.4133182608369611	0.9797626305949819	0.5130185044965384	0.9797626305949819	0.2359921311252784	False	False	False	False
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	-0.013294453612385702	0.6235325604588697	-1.2498901037911736	0.04960820400152706	-0.27439277131225565	0.030975258602004146	0.030975258602004146	0.6222166932721391	False	False	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	-0.10382131438222414	0.12600124540748392	-0.0164242098812343	0.9807865708845726	0.39061706129643875	0.3642325934719183	0.39061706129643875	0.3861604628194092	False	False	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	-0.20888904304254252	0.3958031485946921	0.5942491932699276	0.043449775949122874	0.549897549796837	0.24571213676642156	0.549897549796837	6.0634846494905525e-05	False	True	True	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	-0.5391453845917977	0.2171188970040956	0.2633994006448397	0.2974534480328356	0.7796797951445484	0.6634828174374192	0.7796797951445484	0.0031892619029491765	False	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident			1.1297090802321064	0.03230333620112478	0.4353942628017466	0.5304906355401753	0.5304906355401753	0.0009733336779273299	False	True	True	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident			0.3791479341962611	0.44743863403135664	0.4780902242404443	-0.3730296461349243	0.4780902242404443	0.05876971720779052	False	False	True	False
