module	endpoint	ra_best_comparison	ra_effect	ra_p	ra_fdr	ibd_best_cell_state	ibd_effect	ibd_p	ibd_fdr	direction_stable	both_nominal_p10	one_nominal_other_trend	priority
lysosomal_apc	baseline_pre	good_vs_moderate_none	1.0179392799502753	0.0011271368016719564	0.03193554271403876	DC	0.8878463637078594	0.02039491399647716	0.09838770327180701	True	True	True	7
lysosomal_apc__resid_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	0.9340213048095825	0.0030741099508615165	0.045128816259966884	DC	0.7897963481419672	0.03919596760603056	0.15143896575057259	True	True	True	7
ifn_lysosomal_apc_composite	baseline_pre	good_vs_moderate_none	0.9077655389868495	0.0048307436458581154	0.045128816259966884	DC	0.9478499181198987	0.011681150269714322	0.0709212694946941	True	True	True	7
ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	0.8319533509148473	0.009396651868134378	0.05846102357858007	DC	0.9103438724274675	0.01529104438300862	0.08963715672798156	True	True	True	7
ifn_apc	baseline_pre	moderate_good_vs_none	0.6771355911659706	0.010590643242919924	0.060013645043212896	DC	0.7020273516408355	0.06061806566259568	0.20049443484974536	True	True	True	7
ifn_lysosomal_apc_composite	delta_post_minus_pre	moderate_good_vs_none	-0.58956292616416	0.024289488390234475	0.08204727532962429	DC	-0.8429857664213519	0.02957421995737005	0.12262481445738801	True	True	True	7
lysosomal_apc	delta_post_minus_pre	moderate_good_vs_none	-0.6148352456800532	0.031579767260470175	0.09256138679792981	DC	-1.06129714657032	0.008288395908054424	0.05636109217477008	True	True	True	7
ifn_apc__resid_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	0.687815033126777	0.03388152193271436	0.09599764547602402	DC	0.69078483010325	0.06486584656903527	0.20049443484974536	True	True	True	7
hla_ii_apc__resid_ifn_apc_inflammatory_nfkb	delta_post_minus_pre	moderate_good_vs_none	0.40892731104267255	0.11142039262082405	0.2254936517326201	DC	1.2648132818585578	0.0012104485826592143	0.03326709822007271	True	False	True	4
lysosomal_apc__resid_ifn_apc_inflammatory_nfkb	delta_post_minus_pre	moderate_good_vs_none	-0.41278048522794	0.19589031345489596	0.33301353287332314	DC	-0.9869388324433004	0.01110402568373733	0.0699142357864943	True	False	True	4
ifn_apc	delta_post_minus_pre	moderate_good_vs_none	-0.5344898965129804	0.028873475775182438	0.0872382058003914	DC	-0.46262416370801906	0.2138934093403414	0.39902950029366024	True	False	False	2
lysosomal_apc__resid_ifn_apc_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	0.4750330576571984	0.14090896931352384	0.2661613864811006	DC	0.6363215233272722	0.09855038370800374	0.2556576263242741	True	False	False	2
lysosomal_apc__resid_inflammatory_nfkb	delta_post_minus_pre	moderate_good_vs_none	-0.3753286166030309	0.20902858734756277	0.3416813447027468	DC	-1.094236998975633	0.0056226423143241056	0.0484221003133161	True	False	False	2
ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	delta_post_minus_pre	moderate_good_vs_none	-0.2779345225226909	0.3098529914624243	0.4620614784965977	DC	-0.898557008323154	0.020835043045794425	0.09838770327180701	True	False	False	2
