module	endpoint	ra_comparison	ra_n	ra_coef	ra_p	ra_fdr	ra_generic_coef	ra_target_generic_abs_ratio	ibd_cell_state	ibd_n	ibd_coef	ibd_p	ibd_fdr	ibd_generic_coef	ibd_target_generic_abs_ratio	sign_stable	both_adjusted_p10	both_ratio_ge2	passes_wave76_specificity	priority
lysosomal_apc__resid_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	42	0.2887343634077032	0.07461177391074894	0.39544190713245103	0.07772086018415318	3.715017599182136	DC	29	0.26043358269054373	0.03685687037603121	0.5048053278164863	0.15353886961371588	1.696206200721428	True	True	False	False	3
lysosomal_apc	baseline_pre	good_vs_moderate_none	42	0.2887343634077031	0.07461177391074901	0.39544190713245103	0.07772086018415318	3.715017599182134	DC	29	0.2604335826905438	0.03685687037603123	0.5048053278164863	0.15353886961371588	1.6962062007214285	True	True	False	False	3
ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	42	0.2564606763133797	0.11393408004804165	0.39544190713245103	0.07772086018415318	3.2997663137762148	DC	29	0.19594385862878602	0.10817257024638983	0.5048053278164863	0.15353886961371588	1.2761840641510236	True	False	False	False	1
ifn_lysosomal_apc_composite	baseline_pre	good_vs_moderate_none	42	0.25646067631337965	0.11393408004804174	0.39544190713245103	0.07772086018415318	3.299766313776214	DC	29	0.19594385862878597	0.10817257024638993	0.5048053278164863	0.15353886961371588	1.2761840641510231	True	False	False	False	1
ifn_apc__resid_inflammatory_nfkb	baseline_pre	good_vs_moderate_none	42	0.2241869892190563	0.2349054254117133	0.46981085082342733	0.07772086018415318	2.8845150283702945	DC	29	0.13145413456702829	0.44572796275115456	0.6933546087240186	0.15353886961371588	0.8561619275806188	True	False	False	False	1
ifn_apc	baseline_pre	good_vs_moderate_none	42	0.22418698921905614	0.23490542541171366	0.46981085082342733	0.07772086018415318	2.8845150283702923	DC	29	0.13145413456702826	0.44572796275115484	0.6933546087240186	0.15353886961371588	0.8561619275806186	True	False	False	False	1
lysosomal_apc__resid_inflammatory_nfkb	delta_post_minus_pre	good_vs_moderate_none	42	0.3259042005536193	0.126449926449274	0.39544190713245103	-0.27657829521930977	1.1783433703472541	DC	29	-0.20348939517742465	0.08690992965476227	0.5048053278164863	-0.0195858074376295	10.389635240999453	False	False	False	False	0
lysosomal_apc	delta_post_minus_pre	good_vs_moderate_none	42	0.32590420055361874	0.12644992644927444	0.39544190713245103	-0.27657829521930977	1.1783433703472521	DC	29	-0.20348939517742498	0.08690992965476209	0.5048053278164863	-0.0195858074376295	10.389635240999471	False	False	False	False	0
ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	delta_post_minus_pre	good_vs_moderate_none	42	0.30311668572184924	0.14122925254730334	0.39544190713245103	-0.27657829521930977	1.095952542051415	DC	29	-0.12840668322648618	0.289849962817598	0.6001507233005559	-0.0195858074376295	6.556108735133538	False	False	False	False	0
ifn_lysosomal_apc_composite	delta_post_minus_pre	good_vs_moderate_none	42	0.3031166857218487	0.14122925254730395	0.39544190713245103	-0.27657829521930977	1.095952542051413	DC	29	-0.12840668322648613	0.2898499628175977	0.6001507233005559	-0.0195858074376295	6.556108735133535	False	False	False	False	0
ifn_apc__resid_inflammatory_nfkb	delta_post_minus_pre	good_vs_moderate_none	42	0.27177907877224916	0.19324156090120248	0.4508969754361405	-0.27657829521930977	0.9826478920073786	DC	29	-0.037831590716665586	0.8074564321244209	0.9043512039793513	-0.0195858074376295	1.9315818782115222	False	False	False	False	0
ifn_apc	delta_post_minus_pre	good_vs_moderate_none	42	0.27177907877224877	0.19324156090120306	0.4508969754361405	-0.27657829521930977	0.9826478920073771	DC	29	-0.03783159071666585	0.8074564321244193	0.9043512039793513	-0.0195858074376295	1.9315818782115355	False	False	False	False	0
