dataset	cell_state	endpoint	comparison	module	n	response_coef	response_p	model_status	formula	response_fdr	generic_response_coef	generic_response_p	target_generic_abs_ratio
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	good_vs_moderate_none	lysosomal_apc	42	0.2887343634077031	0.07461177391074901	ok	y ~ good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	0.07772086018415318	0.5090457912785229	3.715017599182134
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	good_vs_moderate_none	lysosomal_apc	42	0.32590420055361874	0.12644992644927444	ok	y ~ good_response + pre_score_lysosomal_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	-0.27657829521930977	0.03571982509088587	1.1783433703472521
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	good_vs_moderate_none	ifn_lysosomal_apc_composite	42	0.25646067631337965	0.11393408004804174	ok	y ~ good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	0.07772086018415318	0.5090457912785229	3.299766313776214
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	good_vs_moderate_none	ifn_lysosomal_apc_composite	42	0.3031166857218487	0.14122925254730395	ok	y ~ good_response + pre_score_ifn_lysosomal_apc_composite + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	-0.27657829521930977	0.03571982509088587	1.095952542051413
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	good_vs_moderate_none	ifn_apc	42	0.22418698921905614	0.23490542541171366	ok	y ~ good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.46981085082342733	0.07772086018415318	0.5090457912785229	2.8845150283702923
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	good_vs_moderate_none	ifn_apc	42	0.27177907877224877	0.19324156090120306	ok	y ~ good_response + pre_score_ifn_apc + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.4508969754361405	-0.27657829521930977	0.03571982509088587	0.9826478920073771
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	good_vs_moderate_none	lysosomal_apc__resid_inflammatory_nfkb	42	0.2887343634077032	0.07461177391074894	ok	y ~ good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	0.07772086018415318	0.5090457912785229	3.715017599182136
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	good_vs_moderate_none	lysosomal_apc__resid_inflammatory_nfkb	42	0.3259042005536193	0.126449926449274	ok	y ~ good_response + pre_score_lysosomal_apc__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	-0.27657829521930977	0.03571982509088587	1.1783433703472541
GSE198520_RA_synovium_antiTNF	bulk_synovium	baseline_pre	good_vs_moderate_none	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	42	0.2564606763133797	0.11393408004804165	ok	y ~ good_response + pre_score_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	0.07772086018415318	0.5090457912785229	3.2997663137762148
GSE198520_RA_synovium_antiTNF	bulk_synovium	delta_post_minus_pre	good_vs_moderate_none	ifn_lysosomal_apc_composite__resid_inflammatory_nfkb	42	0.30311668572184924	0.14122925254730334	ok	y ~ good_response + pre_score_ifn_lysosomal_apc_composite__resid_inflammatory_nfkb + pre_score_inflammatory_nfkb + post_minus_pre_inflammatory_nfkb + C(pathotype) + C(biologic) + inflammatory_score + das28_score	0.39544190713245103	-0.27657829521930977	0.03571982509088587	1.095952542051415
