gene	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	fdr	ms_wrong_for_suppression_route	ms_positive_for_suppression_route
LILRB2	8.554519699841956	9.284180889391164	-0.7296611895492067	-1.340263453087741	-3.111483679122274	0.0077844079989185	0.8344760564031432	True	False
LILRA3	1.1396805277765003	3.3127673315957824	-2.173086803819282	-0.9894958531739352	-2.3778063034495633	0.0281090597125714	0.8506970233122761	True	False
CD300A	11.08594110735444	11.431285432245907	-0.3453443248914674	-0.7766143203952453	-1.875089885308766	0.0766109345414007	0.8989378106274888	False	False
SIGLEC10	11.161476290281277	11.784358679304376	-0.6228823890231006	-0.7889879995997997	-1.8638896983988729	0.0790960238639784	0.8989378106274888	False	False
LILRA5	1.952044047680099	4.21997178953618	-2.2679277418560804	-0.7890931994843905	-1.8633470888864123	0.0792498715469519	0.8989378106274888	False	False
LAIR1	11.942495733995411	12.223617306432727	-0.2811215724373159	-0.715166644642748	-1.6959270172434548	0.1069140784882185	0.8989378106274888	False	False
LILRB1	10.96469256571789	11.21269656445253	-0.2480039987346405	-0.4628983827341497	-1.0712134028502074	0.3035041507515239	0.9075477698307116	False	False
LILRB3	8.753504476081092	9.130459335018273	-0.3769548589371787	-0.2821420590732296	-0.6815807015552351	0.5039530830837081	0.9299116980283588	False	False
LILRB5	4.584360402373451	5.46681886309274	-0.8824584607192891	-0.2793101416090359	-0.6628285652282467	0.51569138646586	0.9344601280416808	False	False
FCGR2B	8.951877523204725	8.577509467914853	0.3743680552898727	0.2224435935373845	0.5339366720119647	0.5995853752716118	0.9466965949245808	False	False
LILRA2	10.077873358618223	9.902999106101747	0.1748742525164761	0.2165151980765993	0.5011730174879584	0.6245685757213365	0.9491657397109384	False	False
CD300LF	8.813813758010017	8.912935010454865	-0.0991212524448474	-0.1661163850359562	-0.3823412381587903	0.7089814372180329	0.9669212366619434	False	False
LILRA4	9.7691338037806	10.034842989447007	-0.265709185666406	-0.1671227583664807	-0.3812491608521323	0.7109359518142427	0.9669212366619434	False	False
LILRA1	9.5459169202546	9.465416736445096	0.0805001838095051	0.1020380132277919	0.239092278962187	0.814083481299333	0.9761732664217524	False	False
LILRB4	11.777225885312328	11.833935211890177	-0.0567093265778488	-0.0627677211582155	-0.1455391856238336	0.8864378306397437	0.9842134382901514	False	False
LILRA6	6.34505593209469	6.2610278864442686	0.0840280456504212	0.0470478473599369	0.1081975636611676	0.915677549658214	0.9882111716135832	False	False
