analysis	status	n_rows
ibd_crohn_myeloid	completed	12
ibd_uc_myeloid	completed	12
ibd_crohn_epithelial	completed	12
ibd_uc_epithelial	completed	12
ibd_crohn_stromal	completed	12
ibd_uc_stromal	completed	12
psoriasis_skin_apc	completed	6
psoriasis_keratinocyte	completed	6
psoriasis_skin_stromal	completed	6
sjogren_gland_apc	completed	22
sjogren_gland_epithelial	completed	25
sjogren_gland_stromal	completed	24
ra_blood_myeloid	completed	36
t1d_beta_cell	completed	22
t1d_ductal_cell	completed	24
t1d_acinar_cell	completed	23
t1d_stellate_cell	completed	21
t1d_endothelial_cell	completed	22
