gene	positive_disease_count	positive_diseases	negative_disease_count	negative_diseases	best_p	max_abs_delta
A4GNT	0		0		0.1304237345099778	0.2612836916882692
ABTB2	2	type 1 diabetes mellitus;ulcerative colitis	0		0.0263317532007643	2.005252434938856
ADAR	2	Crohn disease;psoriasis	1	type 1 diabetes mellitus	0.0007593197680288	0.8470146793162368
AHCTF1	0		0		0.0821353937054152	1.2808970887708733
AKT1	0		2	Sjogren syndrome;type 1 diabetes mellitus	0.0120137592037838	1.0522430157071645
ANKUB1	0		0		0.2539095949930459	1.1708426206186118
ARID5B	1	psoriasis	0		0.0499008029873921	1.5886682782958892
ASAH1	0		2	Crohn disease;ulcerative colitis	0.028754254540312	0.6160984771254086
ATF3	3	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	1	psoriasis	0.0040715727966559	1.5891512404829733
ATF5	2	Crohn disease;ulcerative colitis	1	type 1 diabetes mellitus	0.0065124327621087	1.1645291355184737
AXIN1	0		0		0.1221315871539299	1.2592752712802908
AXL	0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0031385568948218	2.2914103021289467
BATF	1	psoriasis	1	type 1 diabetes mellitus	0.0113428908640689	1.542929124909414
BATF2	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	ulcerative colitis	0.0034254178308196	2.210068783264628
BEAN1	0		0		0.1616487920682612	0.8034464047759456
BIRC2	1	psoriasis	0		0.0299961218414074	0.5439437952234121
BIRC3	2	type 1 diabetes mellitus;ulcerative colitis	0		0.0074093372473054	2.5734065445950365
BLK	1	Sjogren syndrome	0		0.008105999697047	0.7462646776719735
BPIFB2	0		0		0.1045392408762255	1.2172959584632457
BRD9	1	psoriasis	0		0.0307841698053298	1.141083001216598
BTK	0		2	psoriasis;ulcerative colitis	0.0240397468497855	1.786681629205548
CARMIL1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0.015690667730439	2.0379847897078314
CASP10	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		0.0009422532626574	1.4580380201082734
CASP3	0		1	psoriasis	0.0310442995749337	0.5959702482757905
CASP7	2	Crohn disease;psoriasis	0		0.0147680805835608	1.5075856522995663
CASP8	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		0.0011967088628273	1.3222139402142783
CCDC121	2	psoriasis;type 1 diabetes mellitus	0		0.0005710430890544	1.7564789040090492
CCDC88B	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0007409592486777	1.5687705913227834
CCL20	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		0.0016712706999653	6.085702345455086
CD274	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0		0.0008872726176646	2.9599403470978034
CD300A	0		0		0.0803941779377561	1.1746452375048075
CD300LF	1	psoriasis	0		0.0329241262330017	2.2457988966876004
CD40	2	Crohn disease;ulcerative colitis	1	psoriasis	0.0009689037368046	1.936679607129921
CD80	1	ulcerative colitis	0		0.0249305505975622	1.6920582673681386
CD9	0		2	Crohn disease;ulcerative colitis	0.0029045418350274	1.3366874864716172
