gene	gse282122_cell_states_tested	gse282122_min_raw_p	gse282122_min_raw_fdr	gse282122_best_cell_state	gse282122_best_raw_p	gse282122_best_raw_fdr	gse282122_best_raw_delta_remission_minus_non
ACSL1	2	0.0053651490931097	0.6703550679744023	Mono_macro	0.0053651490931097	0.6703550679744023	-2.2731922369474944
APOE	2	0.008142698407955	1.0	DC	0.008142698407955	1.0	-1.7269286658980525
CCL2	2	0.6764265896798521	1.0	Mono_macro	0.6764265896798521	1.0	-0.3765663302624795
CCL3	2	0.3523581215039993	1.0	DC	0.3523581215039993	1.0	-0.5413810672900885
CCL4	2	0.2406379468876999	1.0	DC	0.2406379468876999	1.0	-0.7061977354571318
CD44	2	0.0706601517954887	1.0	DC	0.0706601517954887	1.0	-0.3887213685516343
CTSB	2	0.0102044497783238	0.7417124806231342	DC	0.0102044497783238	1.0	-0.8140858868199328
CTSS	2	0.0002883660558297	0.4604516784712918	Mono_macro	0.0002883660558297	0.4604516784712918	-0.6599339412520674
CXCL10	2	0.0114605604426972	0.7247763606925659	Mono_macro	0.0114605604426972	0.7247763606925659	-3.5317587492056064
CXCL8	2	0.3158117613123888	1.0	DC	0.3158117613123888	1.0	0.3129230985219315
CXCR4	2	0.7153027061089988	1.0	DC	0.7153027061089988	1.0	-0.1105116815110601
GBP1	2	0.0070657585093238	0.6994804288380453	Mono_macro	0.0070657585093238	0.6994804288380453	-2.248565428360756
HLA-DRB1	2	0.0015446155305801	0.5873562852590756	Mono_macro	0.0015446155305801	0.5873562852590756	0.6246527133101525
IFI30	2	0.0613527478640238	0.9575655202109942	Mono_macro	0.0613527478640238	0.9575655202109942	0.4549467240822629
IL1B	2	0.294324299229441	1.0	Mono_macro	0.294324299229441	1.0	0.3005429682761329
IRF1	2	0.0113159191230791	0.9210541149887996	DC	0.0113159191230791	1.0	-0.9853876773402408
LAMP2	2	0.1138888909145505	1.0	DC	0.1138888909145505	1.0	-0.4031798667723646
LAMP3	2	0.0876734537644154	1.0	Mono_macro	0.0876734537644154	1.0	-1.273219693485136
MERTK	2	0.1712782116277761	1.0	DC	0.1712782116277761	1.0	-0.9949901418632816
NFKBIA	2	0.3299123364229473	1.0	DC	0.3299123364229473	1.0	-0.2529713466168071
OSM	2	0.2658859948291816	1.0	Mono_macro	0.2658859948291816	1.0	-0.4811553417838143
SPP1	2	0.0122041512935881	0.735902312729011	Mono_macro	0.0122041512935881	0.735902312729011	-3.0008018636105493
STAT1	2	0.0085258434246952	0.7116587995678715	Mono_macro	0.0085258434246952	0.7116587995678715	-1.532275862776634
TNF	2	0.7739108648006362	1.0	Mono_macro	0.7739108648006362	1.0	-0.2243170073438128
TREM1	2	0.0179751719061446	0.7761417814158196	Mono_macro	0.0179751719061446	0.7761417814158196	-0.9046037899715124
