source	gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity
wave55	CCL20	ENSG00000115009	C-C motif chemokine ligand 20	22.0	False	5.0	AS;Crohn;Psoriasis;RA;UC	5.0	AS;Crohn;Psoriasis;RA;UC	5.0	0.0	0.0	0.4687556879905861	0.0	0.7950547360286191	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1469018183892334	0.0611072952242856	0.8989378106274888	0.0	False																																								
wave55	CD200	ENSG00000091972	CD200 molecule	11.0	False	2.0	Crohn;UC	2.0	Crohn;UC	2.0	0.0	0.0	0.34504192396507	0.0	0.1959887127564643	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.8384397244159705	0.0908591902171466	0.8989378106274888	0.0	False																																								
wave55	LITAF	ENSG00000189067	lipopolysaccharide induced TNF factor	11.0	False	2.0	Crohn;UC	2.0	Crohn;UC	2.0	0.0	0.0	0.397897932283057	0.0	0.1762999313073701	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.3084198322537244	0.1715754140954014	0.8993702893651148	0.0	False																																								
wave55	RYR2	ENSG00000198626	ryanodine receptor 2	7.0	False	1.0	MS	0.0		1.0	0.4121115507645501	0.3476261557951925	0.3476261557951925	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.7419257483873338	0.137559744547624	0.8989378106274888	0.0	False																																								
wave55	IL23A	ENSG00000110944	interleukin 23 subunit alpha	6.5	False	1.0	Psoriasis	0.0		5.0	0.0	0.0	0.6773199308590151	0.994782493894136	0.947218536498336	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.6573316951945598	0.0916123649390088	0.8989378106274888	0.0	False																																								
wave55	LRIG3	ENSG00000139263	leucine rich repeats and immunoglobulin like domains 3	5.0	False	1.0	Celiac	0.0		0.0	0.0	0.0	0.172979814460517	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.4284885080798049	0.0537582280326119	0.8904676266102052	0.0	False																																								
wave55	PPP3CA	ENSG00000138814	protein phosphatase 3 catalytic subunit alpha	4.5	False	0.0		0.0		1.0	0.0	0.0	0.3682965913003799	0.6058199267865807	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.3662550380794975	0.0343364012152779	0.8506970233122761	0.0	False				do_not_promote																																				
wave55	CXCL9	ENSG00000138755	C-X-C motif chemokine ligand 9	4.0	False	0.0		0.0		0.0	0.0	0.0	0.0231786701687214	0.0	0.1588667095839962	3.0	0.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	2.5544176187121583	0.0309913568123503	0.8506970233122761	0.0	False				do_not_promote																																				
wave55	IL15	ENSG00000164136	interleukin 15	4.0	False	0.0		0.0		0.0	0.0	0.0	0.1139694866673222	0.1661154017507154	0.427114995208026	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1957614008388182	0.1225512579945805	0.8989378106274888	0.0	False																																								
wave55	MMP7	ENSG00000137673	matrix metallopeptidase 7	4.0	False	0.0		0.0		0.0	0.0	0.0	0.1862682467610896	0.3054852257998395	0.0182379239283486	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.836134503047833	0.1901690746366625	0.8993702893651148	0.0	False				do_not_promote																																				
