probe	gene
1554018_at	GPNMB
1554464_a_at	CRTAP
1554538_at	RHOF
1554539_a_at	RHOF
1555454_at	LITAF
1555889_a_at	CRTAP
1564684_at	BTN2A2
1567627_at	CD74
1567628_at	CD74
1569490_at	FNDC3B
200704_at	LITAF
200706_s_at	LITAF
200831_s_at	SCD
200832_s_at	SCD
201141_at	GPNMB
201380_at	CRTAP
201720_s_at	LAPTM5
201721_s_at	LAPTM5
202145_at	LY6E
202269_x_at	GBP1
202270_at	GBP1
202345_s_at	FABP5
202425_x_at	PPP3CA
202429_s_at	PPP3CA
202457_s_at	PPP3CA
202912_at	ADM
203381_s_at	APOE
203382_s_at	APOE
203548_s_at	LPL
203549_s_at	LPL
203675_at	NUCB2
203828_s_at	IL32
203904_x_at	CD82
203915_at	CXCL9
204105_s_at	NRCAM
204259_at	MMP7
204416_x_at	APOC1
204470_at	CXCL1
204670_x_at	HLA-DRB1
205298_s_at	BTN2A2
205299_s_at	BTN2A2
205476_at	CCL20
205992_s_at	IL15
207485_x_at	BTN3A1
207557_s_at	RYR2
208306_x_at	HLA-DRB1
208894_at	HLA-DRA
209312_x_at	HLA-DRB1
209395_at	CHI3L1
209396_s_at	CHI3L1
209582_s_at	CD200
209583_s_at	CD200
209619_at	CD74
209770_at	BTN3A1
210163_at	CXCL11
210982_s_at	HLA-DRA
211122_s_at	CXCL11
211162_x_at	SCD
211708_s_at	SCD
212311_at	SEL1L3
212314_at	SEL1L3
212884_x_at	APOE
213553_x_at	APOC1
214044_at	RYR2
215193_x_at	HLA-DRB1
216546_s_at	CHI3L1
216857_at	IL23A
216959_x_at	NRCAM
217326_x_at	IL23A
217371_s_at	IL15
218084_x_at	FXYD5
218140_x_at	SRPRB
218618_s_at	FNDC3B
218644_at	PLEK2
219045_at	RHOF
220054_at	IL23A
221491_x_at	HLA-DRB1
222532_at	SRPRB
222692_s_at	FNDC3B
222693_at	FNDC3B
222812_s_at	RHOF
223065_s_at	STARD3NL
223173_at	SPNS1
223484_at	C15ORF48
224252_s_at	FXYD5
224674_at	TTYH3
224972_at	ROMO1
225032_at	FNDC3B
225304_s_at	NDUFA11
226656_at	CRTAP
226908_at	LRIG3
227138_at	CRTAP
227737_at	SRPRB
228689_at	NDUFA11
228690_s_at	NDUFA11
228910_at	CD82
229838_at	NUCB2
229865_at	FNDC3B
230232_at	SEL1L3
231577_s_at	GBP1
231578_at	GBP1
234377_at	IL23A
234865_at	IL23A
234993_at	ABHD13
235348_at	ABHD13
235353_at	SEL1L3
238900_at	HLA-DRB1
