gene	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	fdr	ms_positive_anchor	ms_positive_trend
ABHD13	9.144442198124535	8.8921215414956	0.2523206566289371	0.8151546140958147	1.940351657531544	0.0675857913143448	0.8989378106274888	True	True
ADM	12.384415681402992	11.937185038537244	0.4472306428657475	0.5238764707784727	1.2501853619659695	0.2265084165897911	0.8993702893651148	False	False
APOC1	12.039401755680895	11.23309294913942	0.8063088065414767	0.960873317311374	2.294905919292049	0.0333487255864159	0.8506970233122761	True	True
APOE	14.92274987618067	14.549824329380527	0.3729255468001433	0.6955020632543474	1.6367316647311294	0.120208663256457	0.8989378106274888	False	True
BTN2A2	9.6739269350447	9.40716244924236	0.2667644858023408	0.5647469973944027	1.3783650421419569	0.1863670669301857	0.8993702893651148	False	True
BTN3A1	9.857671100053556	9.524819181427317	0.332851918626238	0.5824156142884032	1.3917039978237733	0.180138895914588	0.8993702893651148	False	True
C15ORF48	8.44780786772869	7.224792279148872	1.223015588579818	1.4379284490095372	3.3758372847091636	0.0037534871126623	0.8344760564031432	True	True
CCL20	10.82971130121046	9.682809482821224	1.1469018183892334	0.8573650161165193	2.011909922939677	0.0611072952242856	0.8989378106274888	True	True
CD200	4.617419851062263	2.778980126646293	1.8384397244159705	0.7376907573992674	1.7851741875673477	0.0908591902171466	0.8989378106274888	True	True
CD74	16.914341471134943	16.65895076923426	0.2553907019006836	0.5415320486815584	1.2765617875849604	0.2187160729350419	0.8993702893651148	False	False
CD82	8.22331056525641	7.719615911029336	0.5036946542270737	0.6132148315417044	1.4311278545412491	0.1728910748647989	0.8993702893651148	False	True
CHI3L1	9.86063910539674	7.853785954322422	2.006853151074319	1.3467454734949036	3.2128907418651305	0.0046126032857275	0.8344760564031432	True	True
CRTAP	11.56868898099114	11.18431432661782	0.3843746543733211	0.8753546948055304	2.094271784965468	0.0498891394668517	0.8768579428612613	True	True
CXCL1	7.338754279230256	6.07072207865308	1.2680322005771751	0.6200259322607544	1.500281995940061	0.1506253392240219	0.8989378106274888	False	True
CXCL11	3.4987706779190675	2.0730425215247137	1.4257281563943538	0.5619393942266113	1.3284377330527102	0.2008760468856298	0.8993702893651148	False	False
CXCL9	5.477130343391669	2.9227127246795104	2.5544176187121583	0.9836621598115608	2.335834396199488	0.0309913568123503	0.8506970233122761	True	True
FABP5	10.377212656256123	9.112077465267856	1.2651351909882678	1.354921443745131	3.261405140617139	0.004142204528345	0.8344760564031432	True	True
FNDC3B	9.875019283817917	9.599070054433328	0.2759492293845866	0.6583267675602672	1.5995822861185278	0.1275202300872474	0.8989378106274888	False	True
FXYD5	10.776494760534463	10.42402007409308	0.3524746864413863	0.8521804117551859	2.0181351916468953	0.0587113391653537	0.8989378106274888	True	True
GBP1	10.027485791432223	9.53605728924966	0.491428502182563	0.8000728439177743	1.941672516094299	0.0681848307220474	0.8989378106274888	True	True
GPNMB	13.82046554097058	12.386507107555524	1.4339584334150557	1.3559119980959509	3.2080095098690995	0.0049097425501504	0.8344760564031432	True	True
HLA-DRA	16.14379257445295	15.854660936548958	0.2891316379039903	0.7323559303695486	1.7476619949187118	0.0967712300030488	0.8989378106274888	True	True
HLA-DRB1	14.397496173279924	13.850628434494496	0.5468677387854282	0.8375223417578668	2.023008448915905	0.057765674762618	0.8989378106274888	True	True
IL15	7.7046243971151425	6.508862996276324	1.1957614008388182	0.6680541029650515	1.6586147789609746	0.1225512579945805	0.8989378106274888	False	True
IL23A	8.389849922368262	7.732518227173702	0.6573316951945598	0.7609809443861563	1.789704138504845	0.0916123649390088	0.8989378106274888	True	True
IL32	6.842138509545094	5.83403400586808	1.0081045036770142	0.5756342378307668	1.4120898844716012	0.1778387908597707	0.8993702893651148	False	True
LAPTM5	14.790101653385983	14.517444271015464	0.2726573823705198	0.6924799073505363	1.60813217998536	0.1303632586408956	0.8989378106274888	False	True
LITAF	11.678746813341643	11.37032698108792	0.3084198322537244	0.5968595911362213	1.4216047237648486	0.1715754140954014	0.8993702893651148	False	True
LPL	11.66635803040474	9.906759583789	1.7595984466157422	1.873091309632819	4.358772893758869	0.0006219963760009	0.7144250374746858	True	True
LRIG3	6.712248110993753	5.283759602913948	1.4284885080798049	0.8508598309758607	2.0825489661059944	0.0537582280326119	0.8904676266102052	True	True
LY6E	8.776442279942994	8.449159476617602	0.3272828033253923	0.517960505549519	1.223430054756803	0.2373098656275115	0.9004758652001262	False	False
MMP7	3.743688856199513	1.90755435315168	1.836134503047833	0.5794242319458226	1.36455688119758	0.1901690746366625	0.8993702893651148	False	True
NDUFA11	8.9131240079629	8.6689785212034	0.2441454867594998	0.647172976155947	1.5737045505841911	0.1335462695173637	0.8989378106274888	False	True
NRCAM	6.977163847544541	5.678934810065279	1.2982290374792624	0.7616213365350446	1.8770175489978504	0.0812547813304489	0.8989378106274888	True	True
NUCB2	7.743064731529351	7.243530157340695	0.4995345741886563	0.5288509600287234	1.26418769126046	0.2214851652580735	0.8993702893651148	False	False
PLEK2	3.5599644632143126	0.5139686397935003	3.0459958234208124	1.3647899640433525	3.160837004881421	0.0073786076112192	0.8344760564031432	True	True
PPP3CA	9.669549634613404	9.303294596533908	0.3662550380794975	0.9635579832567176	2.2864624224137184	0.0343364012152779	0.8506970233122761	True	True
RHOF	7.020789833752319	6.062478475487455	0.958311358264864	0.5565395633110964	1.3776347016012318	0.1915339443614679	0.8993702893651148	False	True
ROMO1	7.1283953568270615	6.690575712549489	0.4378196442775728	0.8060766004973745	1.9696680580150447	0.0660650677266765	0.8989378106274888	True	True
RYR2	3.2632786120728525	1.5213528636855187	1.7419257483873338	0.64587516052174	1.5504253710875189	0.137559744547624	0.8989378106274888	False	True
SCD	12.45318764443516	12.083230174358	0.3699574700771606	0.6257125213812322	1.4775070685306673	0.1572805657312676	0.8989378106274888	False	True
SEL1L3	7.906246349384385	6.983744666246361	0.922501683138024	1.11834180243498	2.6253593868320984	0.0181382735511015	0.8372898579012464	True	True
SPNS1	9.177579194641307	9.282078114027115	-0.1044989193858096	-0.3036219395843364	-0.7161309629650146	0.4834570887940685	0.926038761164836	False	False
SRPRB	8.713137177360702	8.345608553127313	0.3675286242333886	0.5375269196499866	1.3188287204308022	0.2065821317720323	0.8993702893651148	False	False
STARD3NL	9.17995926800328	8.789793388510885	0.390165879492395	0.6653790243297889	1.6455531437461344	0.123344185153865	0.8989378106274888	False	True
TTYH3	11.201665945655105	10.822429709277504	0.3792362363776007	0.5887946841863607	1.3842779762512525	0.1845335127721597	0.8993702893651148	False	True
