gene	D0_unstim	D0_IFNy_8H	D4_PBS_LPS0H	D4_PBS_LPS1H	D4_PBS_LPS3H	D4_PBS_LPS6H	D4_PBS_LPS12H	D4_PBS_rux_LPS0H	D4_PBS_rux_LPS1H	D4_PBS_rux_LPS3H	D4_PBS_rux_LPS6H	D4_IFNy_LPS0H	D4_IFNy_LPS1H	D4_IFNy_LPS3H	D4_IFNy_LPS6H	D4_IFNy_LPS12H	D4_IFNy_rux_LPS0H	D4_IFNy_rux_LPS1H	D4_IFNy_rux_LPS3H	D4_IFNy_rux_LPS6H
CD74	12.593392506891218	12.60250295344534	13.05416417118507	13.069973527231019	12.802316636784491	12.711710699164605	12.83203315621679	12.912870698180768	12.984647042877214	12.663024842913332	12.711543889307373	13.868331169791384	13.824067749391455	13.566741280341006	13.512647927637323	13.587904647641183	12.861163750729004	12.911298532485013	12.62098304574495	12.751186862494341
NFKBIA	6.592476520994671	9.061006467549843	6.537276719967057	10.587752807503307	9.741559610348256	9.276438048915086	9.29884270602942	6.313009220417336	10.594591949923595	9.714973388700244	8.941107630598518	5.826896739293841	9.971299460627076	10.140710102626333	9.380896778690026	9.101041322000409	6.04867995649779	10.348872888891101	9.526102972343722	8.78492194470772
GSDMD	5.63835477671202	6.3193599916531165	5.072744755714676	5.010953268553655	5.613876723689732	6.239990877680094	6.7526272696198735	5.202544649645636	5.014597245052668	4.696244993281047	5.267428215149783	6.175245942622515	6.237154956091465	6.062357468216053	6.244276653077313	6.640028843806737	5.465269661509758	5.37955403244147	5.253812740407848	5.399686671145293
STAT1	10.994270559427543	11.397246434950672	8.321256804666227	8.311155808920445	9.662324252157003	10.75476814677261	11.56434578988107	8.08758389950116	8.070540487898612	8.210718426739634	9.12178251278608	11.670440895764807	11.604745738189232	11.112574165066613	10.590959002095577	10.962446765020303	8.317799755838791	8.375815078121393	8.249637538289118	8.95549587846218
IRF1	7.055722927178023	8.841353174870033	4.8437748280082955	6.843323016760205	9.075328783680987	8.200357135128328	8.362165294610016	4.6942578710149165	6.800328087329281	8.125790604440335	7.207793667827201	8.839466257857618	9.42491627195678	9.797808211790224	9.138242359420106	8.775394968176826	4.913322338363926	6.757924642583895	8.200698746676256	7.084891937354643
IL1B	7.4318390903939555	10.803992854731622	4.052475486694463	10.389684757241431	10.84693921883664	10.47288034575473	8.319430063826463	3.4882310513298194	10.51191772322144	11.921011943521645	12.042893573413478	3.051512113614364	8.732835346545077	9.987678529059583	9.247032037386552	7.255637891237001	3.129342062359303	9.949562598121648	11.835449017768124	11.811217597384546
CASP1	6.961019270069487	7.731682414055704	6.031210025441995	6.14134969235098	6.550208053576774	7.318397761963678	7.977462857655017	5.906061860905348	6.126742065011674	5.796838554284355	6.6374655255031065	7.341548577481223	7.449812996484872	7.584813859407552	7.566488298623283	7.933309929128964	5.671691776474174	5.67875538705507	5.571828102101829	6.1863929023751485
CASP5	2.3963881600391588	3.6396337566594714	1.1240649065007244	1.2817698439737728	4.665427985197099	4.564751354525917	3.750605571263685	1.1502779037164022	1.2359573978836937	2.9083086563014007	3.118172487738771	2.6220927006070838	2.7945227497167244	5.034990615444993	4.521371436364488	2.4679556764473487	1.1251337465375246	1.061039404980975	3.004661116250763	2.9409284350314517
C15ORF48	5.385574116109335	8.307680297224628	5.488002208063639	5.5175303933397	7.167371310423324	8.117067161793013	8.595497858620405	5.74647248633936	5.718117280041372	7.308485206425638	8.146679094769896	5.819741262527611	5.356365988581492	7.665960714723511	8.661252734317385	9.35132478603383	5.991272558581272	6.222865214851349	7.553277023684951	8.337782374717635
CIITA	7.743813897226462	7.283671729479292	7.268779956701461	7.277395113928861	6.070225440448912	5.7204894458709	6.1325108405353195	6.969846195941289	7.2163682242048495	4.669636858498881	4.538661649067374	8.827208501469237	8.8184449490876	7.50073749276196	5.9515164417939195	6.310244106571309	6.872941169657609	7.05799489289534	4.766384508104747	5.178429118631241
NDUFA4	6.6339963791778285	6.154800686657866	6.7847038734288425	6.673528041851824	6.371408041696606	6.234304859355553	5.9764850269055545	6.8470026698894655	6.695402909329912	6.533021470090907	6.680902479525295	6.108698035793732	6.118315993596808	5.858412568260562	5.84356018960752	5.782255944148915	6.637210418622205	6.486834526763808	6.403393486149958	6.574584781911353
LITAF	8.830311907494302	10.321894327538494	9.478122706890696	9.462146180311843	10.989682853204101	10.771611723646508	9.966042735475563	9.59642718706121	9.563465122039291	10.947508975818904	10.620790950938499	9.34854835379614	9.184260894682986	10.739944374206848	10.888627404814432	10.009674993651938	9.60710249495579	9.535707466541563	10.845081349688995	10.66979359950184
CASP4	7.090699426812518	8.11447983833538	6.241019005716878	6.203659048661961	7.305681033927376	7.721391544138335	7.816048213129457	6.111520091763351	6.074445249387058	6.602366027702117	7.1392234652514235	7.580433090062057	7.792894829465078	8.042762417121475	7.8921588323004634	7.679397067553367	6.031796215403596	6.1009933680548025	6.584323784057247	7.187619349394369
TNF	5.4266568195611775	9.436350829324018	3.3904211355876646	10.498749472677062	9.940067470880141	9.201193844614092	8.287223378185036	2.753312587968458	10.554017488869864	9.70977953656628	8.776743850884305	4.878231651808262	10.630089260256812	10.172300877219348	9.214503819117967	7.363921890183027	3.1367922534043333	10.566447164681454	9.466665534099484	8.426802831601671
