comparator	region	chr	start	end	ms_lead	comparator_lead	ms_lead_p	comparator_lead_p	n_ms_region_rows	n_comparator_region_rows	n_shared_snps	top_shared_snp	top_shared_position	top_shared_p1	top_shared_p2	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	call	n_protein_coding_genes	protein_coding_genes
Crohn	10:80542475-81559335	10	80542475	81559335	rs1250551	rs1250573	2.66195e-11	9.00534e-11	2572	4686	2322	rs1250563	81047383	7.44732e-11	1.17201e-10	3.0109485100139638e-12	6.804666243282128e-07	1.0360395932055138e-07	0.022436665966876112	0.9775625499595288	shared_causal_variant_supported	8	AL133481.1;EIF5AL1;NUTM2B;PPIF;SFTPA1;SFTPA2;ZCCHC24;ZMIZ1
Crohn	14:68710199-69753364	14	68710199	69753364	rs12434551	rs4902642	1.82802e-10	4.339e-08	2394	4038	2205	rs17835647	69274654	9.02402e-09	6.55994e-08	5.6444870370630613e-08	0.001102278039832549	1.3296002159365908e-05	0.2589096817221004	0.739974687791038	suggestive_shared_causal_variant	6	ACTN1;DCAF5;EXD2;GALNT16;RAD51B;ZFP36L1
Crohn	17:40014201-41029835	17	40014201	41029835	rs1026916	rs744166	1.02e-13	2.92301e-08	1166	2588	1008	rs1026916	40529835	1.02e-13	1.424e-07	9.407860980875e-13	0.00010332213373492995	5.42484023125058e-10	0.058637221668092473	0.9412594556547467	shared_causal_variant_supported	40	ACLY;AOC2;AOC3;ATP6V0A1;BECN1;CCR10;CNP;CNTD1;CNTNAP1;COA3;COASY;CTD-2132N18.3;DHX58;DNAJC7;EZH1;FAM134C;GHDC;HCRT;HSD17B1;HSPB9;KAT2A;KCNH4;KLHL11;MLX;NAGLU;NKIRAS2;PLEKHH3;PSMC3IP;PSME3;PTRF;RAB5C;RAMP2;STAT3;STAT5A;STAT5B;TUBG1;TUBG2;VPS25;WNK4;ZNF385C
Crohn	19:10016198-11090684	19	10016198	11090684	rs11666263	rs2129944	1.19501e-08	7.80998e-09	2100	4322	1873	rs28834106	10592144	3.78966e-11	2.21401e-06	1.6076431587766634e-08	0.000624681806957432	1.6084050573759824e-05	0.6246031017346996	0.3747561163313368	unresolved_coloc	41	AC011475.1;ANGPTL6;AP1M2;ATG4D;C19orf38;C19orf52;C19orf66;CARM1;CDC37;CDKN2D;COL5A3;CTD-2369P2.10;CTD-2369P2.12;DNM2;DNMT1;EIF3G;FDX1L;ICAM1;ICAM3;ICAM4;ICAM5;ILF3;KEAP1;KRI1;MRPL4;OLFM2;P2RY11;PDE4A;PPAN;PPAN-P2RY11;QTRT1;RAVER1;RDH8;S1PR2;S1PR5;SLC44A2;SMARCA4;TMED1;TYK2;YIPF2
Crohn	2:42855324-44309347	2	42855324	44309347	rs12478539	rs78487399	4.36616e-11	1.031e-09	3822	6691	3402	rs12478539	43355324	4.36616e-11	0.0168	1.0175624948242731e-09	0.00015451174594018402	6.584424321664305e-06	0.9998116827497038	2.7220062471020907e-05	distinct_causal_variants_supported	10	ABCG5;ABCG8;DYNC2LI1;HAAO;LRPPRC;MTA3;OXER1;PLEKHH2;THADA;ZFP36L2
Crohn	2:60699327-61742410	2	60699327	61742410	rs1177228	rs112401990	8.56702e-09	2.35001e-08	1691	3312	1523	rs7608910	61204856	1.28399e-06	9.77507e-08	3.82695651202808e-06	0.003079002410368637	0.0008025311411882716	0.6453307937599385	0.3507838457319931	unresolved_coloc	10	AHSA2;BCL11A;C2orf74;KIAA1841;PAPOLG;PEX13;PUS10;REL;USP34;XPO1
Crohn	22:21440189-22705353	22	21440189	22705353	rs9610458	rs4820091	4.57404e-12	1.217e-09	2499	4315	2190	rs9610458	22205353	4.57404e-12	0.6448	4.690237773894181e-11	4.348822037774621e-05	1.0784588815082682e-06	0.9999547941564811	6.391173589680885e-07	distinct_causal_variants_supported	15	CCDC116;GGT2;HIC2;MAPK1;POM121L7;PPIL2;PPM1F;RIMBP3B;RIMBP3C;SDF2L1;TOP3B;UBE2L3;VPREB1;YDJC;YPEL1
Crohn	5:39896425-40940063	5	39896425	40940063	rs11749040	rs7713270	3.53997e-17	6.96627e-35	2755	4681	2460	rs7713270	40440063	7.86502e-14	6.96627e-35	1.7630891583485417e-40	7.159150351678302e-29	2.4325572435591334e-12	0.9877451119609746	0.012254888036587303	distinct_causal_variants_supported	6	C7;CARD6;PRKAA1;PTGER4;RPL37;TTC33
Crohn	5:158259900-159348253	5	158259900	159348253	rs2546890	rs4921497	1.03896e-12	5.49414e-11	2398	4165	2199	rs6898844	158798075	8.52197e-06	6.23448e-15	7.929418842214721e-17	5.991588012749077e-11	1.3233992895839794e-06	0.9999803683171015	1.8308223693975644e-05	distinct_causal_variants_supported	5	ADRA1B;EBF1;IL12B;RNF145;UBLCP1
Crohn	6:30793436-31851940	6	30793436	31851940	rs34756687	rs114607072	4.95108e-21	2.19685e-12	10024	3929	1113	rs9267658	31845985	1e-200	0.0220602	4.807429241684787e-255	3.7982083945961846e-05	1.2656508826234594e-250	0.9999535145408373	8.503375272757774e-06	distinct_causal_variants_supported	62	ABHD16A;AIF1;APOM;ATP6V1G2;ATP6V1G2-DDX39B;BAG6;C6orf15;C6orf25;C6orf47;C6orf48;CCHCR1;CDSN;CLIC1;CSNK2B;CSNK2B-LY6G5B-1181;DDAH2;DDR1;DDX39B;DPCR1;EHMT2;GPANK1;GTF2H4;HCG27;HLA-B;HLA-C;HSPA1A;HSPA1B;HSPA1L;LSM2;LST1;LTA;LTB;LY6G5B;LY6G5C;LY6G6C;LY6G6D;LY6G6E;LY6G6F;MCCD1;MEGT1
