gene	cell_type	n
CAMSAP2	MONOCYTES	2
CAMSAP2	TREG_MEM	2
CAMSAP2	M2	1
DDX59	CD8_STIM	76
DDX59	CD4_STIM	75
DDX59	CD8_NAIVE	49
DDX59	TH17	40
DDX59	CD4_NAIVE	34
DDX59	M2	34
DDX59	TREG_NAIVE	23
DDX59	TFH	15
DDX59	TREG_MEM	11
DDX59	TH1	3
DDX59	MONOCYTES	1
KIF21B	NK	1
RP11-532L16.1	TREG_NAIVE	3
RP11-92G12.3	TREG_MEM	1
